البترون,ạlbtrwn
مجدل المعوش,mjdl ạlmʿwsẖ
مرج برجا,mrj brjạ
مزموره,mzmwrh
وادي بنحليه,wạdy bnḥlyh
وادي دير دوريت,wạdy dyr dwryt
الحازمية,ạlḥạzmyẗ
الروضة,ạlrwḍẗ
السفيرة,ạlsfyrẗ
القطين,ạlqṭyn
القمامين,ạlqmạmyn
المطل,ạlmṭl
بحويتا,bḥwytạ
بخعون,bkẖʿwn
بقرصونه,bqrṣwnh
بيت الفقس,byt ạlfqs
حرف السياد,ḥrf ạlsyạd
حقل العزيمه,ḥql ạlʿzymh
عزقي,ʿzqy
عيمار,ʿymạr
عين التينة,ʿyn ạltynẗ
قزحيا,qzḥyạ
كرم المهر,krm ạlmhr
كفربنين,kfrbnyn
كهف الملول,khf ạlmlwl
مراح السريج,mrạḥ ạlsryj
مراح السفيرة,mrạḥ ạlsfyrẗ
مزرعة القرين,mzrʿẗ ạlqryn
نمرين,nmryn
اجد عبرين,ạjd ʿbryn
البحصاص,ạlbḥṣạṣ
اميون شرقي,ạmywn sẖrqy
اميون غربي,ạmywn gẖrby
بترومين,btrwmyn
بتعبوره,btʿbwrh
حارة الخاصة,ḥạrẗ ạlkẖạṣẗ
دار بعشتار,dạr bʿsẖtạr
راس مسقا الجنوبية,rạs msqạ ạljnwbyẗ
راس مسقا الشمالية,rạs msqạ ạlsẖmạlyẗ
زغرتا المتاولة,zgẖrtạ ạlmtạwlẗ
ضهر العين,ḍhr ạlʿyn
ضهور الهوا,ḍhwr ạlhwạ
فيع,fyʿ
كفر صارون,kfr ṣạrwn
كفر قاهل,kfr qạhl
كفرحاتا,kfrḥạtạ
كفرعقا,kfrʿqạ
ابو ميزان,ạbw myzạn
البوشريه,ạlbwsẖryh
الجديدة,ạljdydẗ
الخنشاره,ạlkẖnsẖạrh
الدكوانه,ạldkwạnh
الدوار,ạldwạr
الرابية,ạlrạbyẗ
الشاويه والقنيطره,ạlsẖạwyh wạlqnyṭrh
الشوير,ạlsẖwyr
الضبيه,ạlḍbyh
العيرون,ạlʿyrwn
الغابه,ạlgẖạbh
الفريكه,ạlfrykh
القعقور,ạlqʿqwr
المتين,ạlmtyn
المحيدثة,ạlmḥydtẖẗ
المسقى,ạlmsqy̱
المشرع,ạlmsẖrʿ
المكلس,ạlmkls
النقاش,ạlnqạsẖ
بحر صاف,bḥr ṣạf
بسكنتا جنوبي,bskntạ jnwby
بسكنتا شمالي,bskntạ sẖmạly
بعبدات,bʿbdạt
بيت الشعار,byt ạlsẖʿạr
بيت الككو,byt ạlkkw
بيت شباب تحتاني,byt sẖbạb tḥtạny
بيت شباب فوقاني,byt sẖbạb fwqạny
جل الديب,jl ạldyb
جورة البلوط,jwrẗ ạlblwṭ
زوق الخراب ومار يوسف,zwq ạlkẖrạb wmạr ywsf
ساقية المسك,sạqyẗ ạlmsk
سد البوشريه,sd ạlbwsẖryh
سن الفيل حي البلده,sn ạlfyl ḥy ạlbldh
سن الفيل حي الجديد,sn ạlfyl ḥy ạljdyd
سن الفيل حي الحرج,sn ạlfyl ḥy ạlḥrj
سن الفيل حي جسر الباشا,sn ạlfyl ḥy jsr ạlbạsẖạ
ضهر الصوان,ḍhr ạlṣwạn
عمارة شلهوب,ʿmạrẗ sẖlhwb
عوكر,ʿwkr
عين التفاحة,ʿyn ạltfạḥẗ
عين الخروبه,ʿyn ạlkẖrwbh
عين السنديانه,ʿyn ạlsndyạnh
عين الصفصاف,ʿyn ạlṣfṣạf
عين القبو ودير مار سمعان,ʿyn ạlqbw wdyr mạr smʿạn
عين سعادة,ʿyn sʿạdẗ
عين علق,ʿyn ʿlq
عينطوره,ʿynṭwrh
قرنة الحمرا,qrnẗ ạlḥmrạ
كفرتيه,kfrtyh
مار شعيا والمزكه,mạr sẖʿyạ wạlmzkh
مار موسى الدوار,mạr mwsy̱ ạldwạr
مزرعة بنابيل,mzrʿẗ bnạbyl
مزرعة يشوع,mzrʿẗ ysẖwʿ
مزهر ومجدوب,mzhr wmjdwb
الريحانية,ạlryḥạnyẗ
المنية,ạlmnyẗ
النبي يوشع,ạlnby ywsẖʿ
برج اليهودية,brj ạlyhwdyẗ
الدوير,ạldwyr
الشرقية,ạlsẖrqyẗ
النبطية التحتا حي البياض,ạlnbṭyẗ ạltḥtạ ḥy ạlbyạḍ
النبطية التحتا حي السراي,ạlnbṭyẗ ạltḥtạ ḥy ạlsrạy
النبطية التحتا حي المسيحيين,ạlnbṭyẗ ạltḥtạ ḥy ạlmsyḥyyn
النبطية التحتا حي الميدان,ạlnbṭyẗ ạltḥtạ ḥy ạlmydạn
النبطية الفوقا,ạlnbṭyẗ ạlfwqạ
النميريه,ạlnmyryh
انصار,ạnṣạr
بريقع,bryqʿ
جرجوع,jrjwʿ
حومين الفوقا,ḥwmyn ạlfwqạ
زوطر الشرقية,zwṭr ạlsẖrqyẗ
زوطر الغربية,zwṭr ạlgẖrbyẗ
سيني,syny
صير الغربية,ṣyr ạlgẖrbyẗ
عين بوسوار,ʿyn bwswạr
عين قانا,ʿyn qạnạ
قعقعية الجسر,qʿqʿyẗ ạljsr
كفرصير,kfrṣyr
كفروة,kfrwẗ
المغر وبلا,ạlmgẖr wblạ
بزعون,bzʿwn
بشري حي السيدة,bsẖry ḥy ạlsydẗ
بشري حي المقدمين,bsẖry ḥy ạlmqdmyn
بشري حي مار سابا,bsẖry ḥy mạr sạbạ
بشري حي مار يوحنا,bsẖry ḥy mạr ywḥnạ
بقاعكفرا,bqạʿkfrạ
حدث الجبه,ḥdtẖ ạljbh
مزرعة بني صعب,mzrʿẗ bny ṣʿb
وادي قنوبين,wạdy qnwbyn
الحدث شمالي,ạlḥdtẖ sẖmạly
الحدث قبلي,ạlḥdtẖ qbly
الشبانيه,ạlsẖbạnyh
الشياح بئر العبد,ạlsẖyạḥ bỷr ạlʿbd
الشياح حي الكنيسة,ạlsẖyạḥ ḥy ạlknysẗ
الشياح حي كرم الزيتون,ạlsẖyạḥ ḥy krm ạlzytwn
العربانية,ạlʿrbạnyẗ
الغبيري بئر حسن,ạlgẖbyry bỷr ḥsn
الغبيري حي الجامع,ạlgẖbyry ḥy ạljạmʿ
الفياضية,ạlfyạḍyẗ
القلعه,ạlqlʿh
الليلكه,ạllylkh
المرداشة,ạlmrdạsẖẗ
المريجه,ạlmryjh
الهلالية,ạlhlạlyẗ
بتخنيه,btkẖnyh
برج البراجنة حي السنديان,brj ạlbrạjnẗ ḥy ạlsndyạn
برج البراجنة حي السياد,brj ạlbrạjnẗ ḥy ạlsyạd
برج البراجنة حي المنشية,brj ạlbrạjnẗ ḥy ạlmnsẖyẗ
بطشيه,bṭsẖyh
بعلشميه,bʿlsẖmyh
تحويطة الغدير,tḥwyṭẗ ạlgẖdyr
تحويطة النهر,tḥwyṭẗ ạlnhr
جوار الحوز,jwạr ạlḥwz
حارة البطم,ḥạrẗ ạlbṭm
حارة حريك حي الرويس,ḥạrẗ ḥryk ḥy ạlrwys
حارة حريك حي الكنيسة,ḥạrẗ ḥryk ḥy ạlknysẗ
حارة حريك قرانوح,ḥạrẗ ḥryk qrạnwḥ
حاصبيا المتن,ḥạṣbyạ ạlmtn
دير مار الياس الكحلونية,dyr mạr ạlyạs ạlkḥlwnyẗ
راس الحرف,rạs ạlḥrf
راس المتن,rạs ạlmtn
رويسة البلوط,rwysẗ ạlblwṭ
زندوقه,zndwqh
سبنيه,sbnyh
عين الرمانة,ʿyn ạlrmạnẗ
قبيع,qbyʿ
كفرسلوان,kfrslwạn
وادي شحرور السفلى,wạdy sẖḥrwr ạlsfly̱
وادي شحرور العليا,wạdy sẖḥrwr ạlʿlyạ
السلطانيه,ạlslṭạnyh
بنت جبيل حي البركه,bnt jbyl ḥy ạlbrkh
بنت جبيل حي الجامع,bnt jbyl ḥy ạljạmʿ
بنت جبيل حي الحسينية,bnt jbyl ḥy ạlḥsynyẗ
بنت جبيل حي الحواره,bnt jbyl ḥy ạlḥwạrh
بنت جبيل حي عين الصغيرة,bnt jbyl ḥy ʿyn ạlṣgẖyrẗ
تبنين حي التحتاني,tbnyn ḥy ạltḥtạny
تبنين حي الفوقاني,tbnyn ḥy ạlfwqạny
تبنين حي الكاثوليك,tbnyn ḥy ạlkạtẖwlyk
تبنين حي آل بري,tbnyn ḥy ậl bry
حاريص,ḥạryṣ
حداثا,ḥdạtẖạ
دير انطار,dyr ạnṭạr
صفد البطيخ,ṣfd ạlbṭykẖ
عيتا الجبل,ʿytạ ạljbl
عيتا الشعب,ʿytạ ạlsẖʿb
عين ابل حي الدير,ʿyn ạbl ḥy ạldyr
عين ابل حي العين,ʿyn ạbl ḥy ạlʿyn
عين ابل حي الكنيسة,ʿyn ạbl ḥy ạlknysẗ
غندورية,gẖndwryẗ
قوزح,qwzḥ
كفره,kfrh
مارون الراس,mạrwn ạlrạs
الاشرفية,ạlạsẖrfyẗ
الرميل,ạlrmyl
الصيفي,ạlṣyfy
المدور,ạlmdwr
الباشورة,ạlbạsẖwrẗ
المرفأ,ạlmrfạ̉
المصيطبة,ạlmṣyṭbẗ
دار المريسة,dạr ạlmrysẗ
رأس بيروت,rạ̉s byrwt
ميناء الحصن,mynạʾ ạlḥṣn
ادونيس,ạdwnys
افقا,ạfqạ
البرباره,ạlbrbạrh
الجليسه,ạljlysh
الريحانة,ạlryḥạnẗ
العاقورة - أ,ạlʿạqwrẗ - ạ̉
العاقورة - م,ạlʿạqwrẗ - m
الغابات,ạlgẖạbạt
الفيدار,ạlfydạr
الكفر,ạlkfr
المزاريب,ạlmzạryb
المنصف,ạlmnṣf
بخعاز,bkẖʿạz
بزيون,bzywn
بشتليدا,bsẖtlydạ
بنتاعل,bntạʿl
جنه ومار سركيس,jnh wmạr srkys
حصارات,ḥṣạrạt
دملصا,dmlṣạ
دير القطاره,dyr ạlqṭạrh
راس اسطا,rạs ạsṭạ
ساقية الخيط,sạqyẗ ạlkẖyṭ
سرعيتا,srʿytạ
سقي رشميا,sqy rsẖmyạ
علمات الجنوبية,ʿlmạt ạljnwbyẗ
علمات الشمالية,ʿlmạt ạlsẖmạlyẗ
عنايا وكفربعال,ʿnạyạ wkfrbʿạl
عين الدلبة,ʿyn ạldlbẗ
عين الشلال,ʿyn ạlsẖlạl
عين الغويبة,ʿyn ạlgẖwybẗ
عين جرين,ʿyn jryn
عين كفاع,ʿyn kfạʿ
فتري,ftry
قرطبا الجنوبية,qrṭbạ ạljnwbyẗ
قرطبا الشمالية,qrṭbạ ạlsẖmạlyẗ
كفر كده,kfr kdh
كفر مسحون,kfr msḥwn
مزرعة السياد,mzrʿẗ ạlsyạd
نهر ابراهيم,nhr ạbrạhym
الحسانيه,ạlḥsạnyh
الحمصية,ạlḥmṣyẗ
السريره,ạlsryrh
العيشية,ạlʿysẖyẗ
القطراني,ạlqṭrạny
بحنين - كفرتعلا,bḥnyn - kfrtʿlạ
حيتوله - وادي الليمون,ḥytwlh - wạdy ạllymwn
حيطوره,ḥyṭwrh
ريمات وشقاديف,rymạt wsẖqạdyf
زحلته,zḥlth
صفارية,ṣfạryẗ
عين مجدلين,ʿyn mjdlyn
قتالة,qtạlẗ
قطين وحيداب,qṭyn wḥydạb
كفر جره,kfr jrh
لبعه,lbʿh
مراح الحباس,mrạḥ ạlḥbạs
مزرعة المطحنة,mzrʿẗ ạlmṭḥnẗ
الفرزل التحتا,ạlfrzl ạltḥtạ
الفرزل الفوقا,ạlfrzl ạlfwqạ
الكرمة,ạlkrmẗ
بتياس,btyạs
بر الياس,br ạlyạs
تعلبايا,tʿlbạyạ
تعنايل,tʿnạyl
تل الاخضر,tl ạlạkẖḍr
تويته,twyth
جديتا,jdytạ
جلالا,jlạlạ
حاجي حببلي,ḥạjy ḥbbly
حوش الغنم,ḥwsẖ ạlgẖnm
حي السلم,ḥy ạlslm
حي الفيكاني,ḥy ạlfykạny
خضر بك,kẖḍr bk
دير الغزال,dyr ạlgẖzạl
زحلة البرباره,zḥlẗ ạlbrbạrh
زحلة الراسيه التحتا,zḥlẗ ạlrạsyh ạltḥtạ
زحلة الراسيه الفوقا,zḥlẗ ạlrạsyh ạlfwqạ
زحلة المعلقه,zḥlẗ ạlmʿlqh
زحلة المعلقه الشمالي,zḥlẗ ạlmʿlqh ạlsẖmạly
زحلة الميدان الشرقي,zḥlẗ ạlmydạn ạlsẖrqy
زحلة الميدان الغربي,zḥlẗ ạlmydạn ạlgẖrby
زحلة حوش الامراء,zḥlẗ ḥwsẖ ạlạmrạʾ
زحلة حوش الزراعنه,zḥlẗ ḥwsẖ ạlzrạʿnh
زحلة حي السيدة,zḥlẗ ḥy ạlsydẗ
زحلة سيدة النجاة,zḥlẗ sydẗ ạlnjạẗ
زحلة كرك نوح,zḥlẗ krk nwḥ
زحلة مار الياس,zḥlẗ mạr ạlyạs
زحلة مار انطونيوس,zḥlẗ mạr ạnṭwnyws
زحلة مار مخايل,zḥlẗ mạr mkẖạyl
زحلة وادي العرايش,zḥlẗ wạdy ạlʿrạysẖ
سعدنايل,sʿdnạyl
شتوره,sẖtwrh
شهابية الفاعور,sẖhạbyẗ ạlfạʿwr
علي النهري,ʿly ạlnhry
عين كفرزبد,ʿyn kfrzbd
قاع الريم,qạʿ ạlrym
قب الياس التحتا,qb ạlyạs ạltḥtạ
قب الياس الفوقا,qb ạlyạs ạlfwqạ
قوسايا,qwsạyạ
كابوسية,kạbwsyẗ
كفرزبد,kfrzbd
مجدل عنجر,mjdl ʿnjr
ناصريه,nạṣryh
نبي ايلا,nby ạylạ
وادي الدلم,wạdy ạldlm
يوغون اولوك,ywgẖwn ạwlwk
اجبع,ạjbʿ
اسلوت,ạslwt
البحيرة,ạlbḥyrẗ
القادريه,ạlqạdryh
ايعال,ạyʿạl
بسلوقيط,bslwqyṭ
بنشعي,bnsẖʿy
بيت عبيد,byt ʿbyd
بيت عوكر,byt ʿwkr
حارة الفوار,ḥạrẗ ạlfwạr
حرف ارده,ḥrf ạrdh
حرف مزيارة,ḥrf mzyạrẗ
حريقص,ḥryqṣ
حيلان,ḥylạn
رشعين,rsẖʿyn
زغرتا حي السيدة الشرقي,zgẖrtạ ḥy ạlsydẗ ạlsẖrqy
زغرتا حي السيدة الغربي,zgẖrtạ ḥy ạlsydẗ ạlgẖrby
زغرتا حي الصليب الجنوبي,zgẖrtạ ḥy ạlṣlyb ạljnwby
زغرتا حي الصليب الشمالي,zgẖrtạ ḥy ạlṣlyb ạlsẖmạly
زغرتا حي المعاصر,zgẖrtạ ḥy ạlmʿạṣr
سبعل,sbʿl
سرعل,srʿl
عربة قزحيا,ʿrbẗ qzḥyạ
عشاش,ʿsẖạsẖ
قره باش,qrh bạsẖ
كفر دلاقوس,kfr dlạqws
كفر شخنا,kfr sẖkẖnạ
كفر صغاب,kfr ṣgẖạb
كفر ياشيت,kfr yạsẖyt
مرياطه,mryạṭh
مزرعة التفاح,mzrʿẗ ạltfạḥ
مزرعة الفريديس,mzrʿẗ ạlfrydys
مزرعة حوقا,mzrʿẗ ḥwqạ
البازوريه,ạlbạzwryh
البرغليه,ạlbrgẖlyh
البساتين,ạlbsạtyn
البستان,ạlbstạn
البص  قسم 1,ạlbṣ  qsm 1
البص  قسم 3,ạlbṣ  qsm 3
البص قسم 5,ạlbṣ qsm 5
الجبين,ạljbyn
الحلوسية,ạlḥlwsyẗ
الحميري,ạlḥmyry
الحنية,ạlḥnyẗ
الرشيديه,ạlrsẖydyh
الرماديه,ạlrmạdyh
الزلوطية,ạlzlwṭyẗ
السماعية,ạlsmạʿyẗ
الشعيتية,ạlsẖʿytyẗ
الشهابية,ạlsẖhạbyẗ
الظهيرة,ạlẓhyrẗ
المالكية,ạlmạlkyẗ
الناقورة,ạlnạqwrẗ
باريش,bạrysẖ
بثتيات,btẖtyạt
جبال البطم,jbạl ạlbṭm
جناته,jnạth
حناويه,ḥnạwyh
دبعال,dbʿạl
دير قانون راس العين,dyr qạnwn rạs ạlʿyn
سلعا,slʿạ
شبريحا,sẖbryḥạ
شمع,sẖmʿ
صور,ṣwr
صور حي الارثوذكس,ṣwr ḥy ạlạrtẖwdẖks
صور حي الجامع,ṣwr ḥy ạljạmʿ
صور حي الجورة,ṣwr ḥy ạljwrẗ
صور حي الحسينية,ṣwr ḥy ạlḥsynyẗ
صور حي الكاثوليك,ṣwr ḥy ạlkạtẖwlyk
صور حي المصاروي,ṣwr ḥy ạlmṣạrwy
صور حي المنارة,ṣwr ḥy ạlmnạrẗ
صور حي الموارنة,ṣwr ḥy ạlmwạrnẗ
طير حرفا,ṭyr ḥrfạ
طير دبا,ṭyr dbạ
طير فلسيه,ṭyr flsyh
علما الشعب,ʿlmạ ạlsẖʿb
عين ابو عبدالله,ʿyn ạbw ʿbdạllh
عين الزرقا,ʿyn ạlzrqạ
قليله,qlylh
محرونه,mḥrwnh
معركه,mʿrkh
معروب,mʿrwb
نفاخيه,nfạkẖyh
وادي جيلو,wạdy jylw
التعزانية,ạltʿzạnyẗ
الرجمة,ạlrjmẗ
الشويفات حي الامراء,ạlsẖwyfạt ḥy ạlạmrạʾ
الشويفات حي العمروسية,ạlsẖwyfạt ḥy ạlʿmrwsyẗ
الشويفات حي القبة,ạlsẖwyfạt ḥy ạlqbẗ
العزونية,ạlʿzwnyẗ
القماطية,ạlqmạṭyẗ
الكحالة,ạlkḥạlẗ
بحمدون,bḥmdwn
بحواره,bḥwạrh
بخشتيه,bkẖsẖtyh
بعورته,bʿwrth
بمهريه,bmhryh
بوزريده,bwzrydh
جسر القاضي,jsr ạlqạḍy
دير قوبل,dyr qwbl
سوق الغرب,swq ạlgẖrb
شانيه,sẖạnyh
صوفر,ṣwfr
عاليه شمالي,ʿạlyh sẖmạly
عاليه غربي,ʿạlyh gẖrby
عاليه قبلي,ʿạlyh qbly
عاليه وسطاني,ʿạlyh wsṭạny
عبيه,ʿbyh
عين الجديدة,ʿyn ạljdydẗ
عين السيدة,ʿyn ạlsydẗ
عين الفريديس,ʿyn ạlfrydys
عين المرج,ʿyn ạlmrj
عين داره,ʿyn dạrh
عين عنوب,ʿyn ʿnwb
كفر عميه,kfr ʿmyh
كفرمتى,kfrmty̱
محطة بحمدون,mḥṭẗ bḥmdwn
البقيعة,ạlbqyʿẗ
الحميره,ạlḥmyrh
الحويش,ạlḥwysẖ
الحيصه,ạlḥyṣh
الدبابيه,ạldbạbyh
الدوره,ạldwrh
الدوسه,ạldwsh
الريحانيه,ạlryḥạnyh
الزواريب,ạlzwạryb
السماقية,ạlsmạqyẗ
السمونيه,ạlsmwnyh
السنديانة,ạlsndyạnẗ
السهلة,ạlshlẗ
السويسه,ạlswysh
الشقدوف,ạlsẖqdwf
الشيخ زناد,ạlsẖykẖ znạd
الشيخ طابا,ạlsẖykẖ ṭạbạ
الشيخ عياش,ạlsẖykẖ ʿyạsẖ
الشيخ محمد,ạlsẖykẖ mḥmd
العريضه,ạlʿryḍh
العماير,ạlʿmạyr
العوادة,ạlʿwạdẗ
العوينات,ạlʿwynạt
الفرض,ạlfrḍ
القبيات الذوق,ạlqbyạt ạldẖwq
القبيات الضهر,ạlqbyạt ạlḍhr
القبيات الغربية,ạlqbyạt ạlgẖrbyẗ
القبيات القطلبه,ạlqbyạt ạlqṭlbh
القبيات غوايا,ạlqbyạt gẖwạyạ
القبيات مرتموره,ạlqbyạt mrtmwrh
القرنة,ạlqrnẗ
القنطره,ạlqnṭrh
الكواشره,ạlkwạsẖrh
المسعوديه,ạlmsʿwdyh
المقيبله,ạlmqyblh
المقيطع,ạlmqyṭʿ
المونسة,ạlmwnsẗ
النفيسه,ạlnfysh
النهرية وبستان الحرش,ạlnhryẗ wbstạn ạlḥrsẖ
النورة,ạlnwrẗ
الهيشة,ạlhysẖẗ
برباره,brbạrh
برج العرب,brj ạlʿrb
بني صخر,bny ṣkẖr
بيت الحاج,byt ạlḥạj
بيت الحوش,byt ạlḥwsẖ
بيت ايوب,byt ạywb
بيت غطاس,byt gẖṭạs
تاشع,tạsẖʿ
تل عباس شرقي,tl ʿbạs sẖrqy
تل عباس غربي,tl ʿbạs gẖrby
تل معيان,tl mʿyạn
تلبيبة,tlbybẗ
تلبيره,tlbyrh
تلحميره,tlḥmyrh
تله وشطاحه,tlh wsẖṭạḥh
جبل المنصورة,jbl ạlmnṣwrẗ
جديدة القيطع,jdydẗ ạlqyṭʿ
جرمنايا,jrmnạyạ
حكر الشيخ طابا,ḥkr ạlsẖykẖ ṭạbạ
حكر الضاهري,ḥkr ạlḍạhry
حوشب,ḥwsẖb
خربة الجرد,kẖrbẗ ạljrd
خربة داوود,kẖrbẗ dạwwd
خريبة الجندي,kẖrybẗ ạljndy
خط البترول,kẖṭ ạlbtrwl
دارين,dạryn
دير جنين,dyr jnyn
دير دلوم,dyr dlwm
رجم عيسى,rjm ʿysy̱
زوق الحبالصه,zwq ạlḥbạlṣh
زوق الحصينه,zwq ạlḥṣynh
زوق المقشرين,zwq ạlmqsẖryn
زوق حداره,zwq ḥdạrh
سفينة القيطع,sfynẗ ạlqyṭʿ
شدره,sẖdrh
ضهر القنبر,ḍhr ạlqnbr
ضهر ليسينه,ḍhr lysynh
عبودية,ʿbwdyẗ
عكار العتيقه,ʿkạr ạlʿtyqh
عماره,ʿmạrh
عيات,ʿyạt
عيدمون,ʿydmwn
عين الذهب,ʿyn ạldẖhb
عين يعقوب,ʿyn yʿqwb
عيون الغزلان,ʿywn ạlgẖzlạn
غزيله,gẖzylh
قليعات,qlyʿạt
قنية,qnyẗ
كرم زبدين,krm zbdyn
كرم عصفور,krm ʿṣfwr
كفر حره,kfr ḥrh
كوشا,kwsẖạ
مراح الخوخ,mrạḥ ạlkẖwkẖ
مشيلحة حاكوره,msẖylḥẗ ḥạkwrh
ممنع,mmnʿ
منياره,mnyạrh
وادي الجاموس,wạdy ạljạmws
وادي خالد,wạdy kẖạld
البابلية,ạlbạblyẗ
البرامية,ạlbrạmyẗ
البيسارية,ạlbysạryẗ
الحارة,ạlḥạrẗ
الحجة,ạlḥjẗ
الزرارية,ạlzrạryẗ
السكسكية,ạlskskyẗ
الصالحية,ạlṣạlḥyẗ
الصرفند,ạlṣrfnd
الغازية,ạlgẖạzyẗ
القرية,ạlqryẗ
القنيطرة,ạlqnyṭrẗ
اللوبيه,ạllwbyh
المروانية,ạlmrwạnyẗ
المعمرية,ạlmʿmryẗ
المية ومية,ạlmyẗ wmyẗ
النجارية,ạlnjạryẗ
بقسطه,bqsṭh
جنجلايا,jnjlạyạ
درب السيم,drb ạlsym
عدوسية,ʿdwsyẗ
عرب الجل,ʿrb ạljl
غسانية,gẖsạnyẗ
قعقعية الصنوبر,qʿqʿyẗ ạlṣnwbr
كفرحتى,kfrḥty̱
كفرملكي,kfrmlky
كوثرية السياد,kwtẖryẗ ạlsyạd
مزرعة طبايا,mzrʿẗ ṭbạyạ
الخياره,ạlkẖyạrh
الدكوه,ạldkwh
السلطان يعقوب التحتا,ạlslṭạn yʿqwb ạltḥtạ
السلطان يعقوب الفوقا,ạlslṭạn yʿqwb ạlfwqạ
الشبرقية,ạlsẖbrqyẗ
العقبة,ạlʿqbẗ
المنارة,ạlmnạrẗ
المنصوره,ạlmnṣwrh
باب مارع,bạb mạrʿ
تنوره,tnwrh
حلوه,ḥlwh
حوش الحريمه,ḥwsẖ ạlḥrymh
دير العشائر,dyr ạlʿsẖạỷr
راشيا حي الفوقا,rạsẖyạ ḥy ạlfwqạ
راشيا حي الكواسبه,rạsẖyạ ḥy ạlkwạsbh
راشيا حي الميدان,rạsẖyạ ḥy ạlmydạn
سلساتا,slsạtạ
عيحا,ʿyḥạ
عين التينه,ʿyn ạltynh
عين حرشا,ʿyn ḥrsẖạ
عين زبده,ʿyn zbdh
كامد اللوز,kạmd ạllwz
كفردنيس,kfrdnys
كفرقوق,kfrqwq
كفرمشكي,kfrmsẖky
مجدل بلهيص,mjdl blhyṣ
محيدثه,mḥydtẖh
مشغره التحتا,msẖgẖrh ạltḥtạ
مشغره الفوقا,msẖgẖrh ạlfwqạ
الانصار,ạlạnṣạr
البرانيه حي المسيحيين,ạlbrạnyh ḥy ạlmsyḥyyn
البرباره محلة المسيحيين,ạlbrbạrh mḥlẗ ạlmsyḥyyn
البويضة,ạlbwyḍẗ
البويضة الحي الغربي,ạlbwyḍẗ ạlḥy ạlgẖrby
البويضة الشمالية,ạlbwyḍẗ ạlsẖmạlyẗ
التوفيقيه,ạltwfyqyh
الجوبانية,ạljwbạnyẗ
الحدث الشمالي,ạlḥdtẖ ạlsẖmạly
الحدث الغربي,ạlḥdtẖ ạlgẖrby
الحريقه,ạlḥryqh
الحلانيه,ạlḥlạnyh
الخريبه حي الجامع,ạlkẖrybh ḥy ạljạmʿ
الخضر الشرقي,ạlkẖḍr ạlsẖrqy
الخضر الغربي,ạlkẖḍr ạlgẖrby
الخضر حي الاشعل,ạlkẖḍr ḥy ạlạsẖʿl
الخضر حي الجنوبي,ạlkẖḍr ḥy ạljnwby
الخضر حي الشعب,ạlkẖḍr ḥy ạlsẖʿb
الريش حي الشرقي,ạlrysẖ ḥy ạlsẖrqy
الريش حي الشميس,ạlrysẖ ḥy ạlsẖmys
