,Village Name,English Name,District Name,Mohafaza
47,ارنون,Arnoune,النبطية,النبطية
48,ارصون,Arsoune,بعبدا,جبل لبنان
49,ارزي,Arzey,قرى صيدا,الجنوب
50,ارزون,Arzoune,صور,الجنوب
51,اصنون,Asnoune,زغرتا,الشمال
52,عاصون,Assoun,الضنية,الشمال
53,عترين,Atrine,الشوف,جبل لبنان
54,عازور,Azour,جزين,الجنوب
55,بعبدا,Baabda,بعبدا,جبل لبنان
56,بعلول,Baaloul,قضاءي البقاع الغربي وراشيا,البقاع
57,بعاصير,Baassir,الشوف,جبل لبنان
58,بشوات,Bachwat,قضاءي بعلبك والهرمل,بعلبك والهرمل
59,بدبهون,Badbhoun,الكورة,الشمال
60,بافليه,Bafliyé,صور,الجنوب
61,بيقون,Baïkoun,الشوف,جبل لبنان
62,بيصور,Baissour,جزين,الجنوب
63,بيصور,Baissour,عاليه,جبل لبنان
64,بكا,Bakka,قضاءي البقاع الغربي وراشيا,البقاع
65,بكيفا,Bakkifa,قضاءي البقاع الغربي وراشيا,البقاع
66,بكيفا,Bakkifa,الشوف,جبل لبنان
67,بلونه,Ballouné,كسروان,جبل لبنان
68,بان,Bane,بشري,الشمال
69,برعشيت,Baraachite,بنت جبيل,النبطية
70,برغون,Bargoune,الكورة,الشمال
71,برجا,Barja,الشوف,جبل لبنان
72,برسا,Barsa,الكورة,الشمال
73,باتر,Bater,الشوف,جبل لبنان
74,بتلون,Batloune,الشوف,جبل لبنان
75,باتولية,Batouliyat,صور,الجنوب
76,بزبينا,Bazbina,عكار,عكار
77,بشعله,Bchaalé,البترون,الشمال
78,بشامون,Bchamoune,عاليه,جبل لبنان
79,بشتفين,Bchatfine,الشوف,جبل لبنان
80,بشنين,Bchenine,زغرتا,الشمال
81,بشللي,Bchillé,جبيل,جبل لبنان
82,بدبا,Bdebba,الكورة,الشمال
83,بدادون,Bdédoune,عاليه,جبل لبنان
84,ببنين,Bebnine,عكار,عكار
85,بشمزين,Bechmezzine,الكورة,الشمال
86,بدغان,Bedghane,عاليه,جبل لبنان
87,بدنايل,Bednayel,قضاءي بعلبك والهرمل,بعلبك والهرمل
88,بدنايل,Bednayel,الكورة,الشمال
89,بحديدات,Behdaidate,جبيل,جبل لبنان
90,بينو,Beino,عكار,عكار
91,بجدرفل,Bejdarfel,البترون,الشمال
92,بجه,Bejjé,جبيل,جبل لبنان
93,بنويتي,Benouaïti,الشوف,جبل لبنان
94,بنواتي,Benwati,جزين,الجنوب
95,برحليون,Berhalioun,بشري,الشمال
96,برقايل,Berkayel,عكار,عكار
97,برتي,Berti,قرى صيدا,الجنوب
98,بزحل,Bezhel,كسروان,جبل لبنان
99,بحبوش,Bhabbouche,الكورة,الشمال
100,بحنين,Bhanine,المنية,الشمال
101,بياقوت,Biakoute,المتن,جبل لبنان
102,بدياس,Bidias,صور,الجنوب
103,بكفيا,Bikfaya,المتن,جبل لبنان
104,بسري,Bisri,جزين,الجنوب
105,بسرين,Bisrine,عاليه,جبل لبنان
106,بقرقاشا,Bkarkacha,بشري,الشمال
107,بقرزلا,Bkarzala,عكار,عكار
108,بكفتين,Bkeftine,الكورة,الشمال
109,بقنايا,Bkennaya,المتن,جبل لبنان
110,بكاسين,Bkessine,جزين,الجنوب
111,بلوزا,Blaouza,بشري,الشمال
112,بلاط,Blat,قضاءي مرجعيون وحاصبيا,النبطية
113,بلاط,Blat,جبيل,جبل لبنان
114,بليبل,Bleibel,عاليه,جبل لبنان
115,بليدا,Blida,قضاءي مرجعيون وحاصبيا,النبطية
116,بمكين,Bmakkine,عاليه,جبل لبنان
117,بمريم,Bmariam,بعبدا,جبل لبنان
118,بنعفول,Bnaafoul,قرى صيدا,الجنوب
119,بنهران,Bnehrane,الكورة,الشمال
120,بقسميا,Boksmaya,البترون,الشمال
121,بطمه,Botmé,الشوف,جبل لبنان
122,بوسيط,Boucite,زغرتا,الشمال
123,بوداي,Bouday,قضاءي بعلبك والهرمل,بعلبك والهرمل
124,بوارج,Bouerije,زحلة,البقاع
125,بصليا,Bouslaya,جزين,الجنوب
126,بريسات,Brissat,بشري,الشمال
127,برمانا,Broummana,المتن,جبل لبنان
128,بسابا,Bsaba,الشوف,جبل لبنان
129,بسابا,Bsaba,بعبدا,جبل لبنان
130,بصاليم,Bsalime,المتن,جبل لبنان
131,بصرما,Bsarma,الكورة,الشمال
132,بسوس,Bsous,عاليه,جبل لبنان
133,بتاتر,Btater,عاليه,جبل لبنان
134,بتبيات,Btebiat,بعبدا,جبل لبنان
135,بتغرين,Bteghrine,المتن,جبل لبنان
136,بطرماز,Btermaz,الضنية,الشمال
137,بطرام,Bterram,الكورة,الشمال
138,بتوراتيج,Btouratige,الكورة,الشمال
139,برغز,Burghoz,قضاءي مرجعيون وحاصبيا,النبطية
140,بزال,Bzal,عكار,عكار
141,بزبدين,Bzebdine,بعبدا,جبل لبنان
142,بزيزا,Bziza,الكورة,الشمال
143,بزمار,Bzoumar,كسروان,جبل لبنان
144,شبطين,Chabtine,البترون,الشمال
145,شحتول,Chahtoul,كسروان,جبل لبنان
146,شقرا,Chakra,بنت جبيل,النبطية
147,شامات,Chamate,جبيل,جبل لبنان
148,شملان,Chamlane,عاليه,جبل لبنان
149,شان,Chane,عكار,عكار
150,شربيلا,Charbila,عكار,عكار
151,شارون,Charoun,عاليه,جبل لبنان
152,شرتون,Chartoun,عاليه,جبل لبنان
153,شاتين,Chatine,البترون,الشمال
154,شواليق,Chawalik,جزين,الجنوب
155,شحور,Chehour,صور,الجنوب
156,شكا,Chekka,البترون,الشمال
157,شيحين,Chihine,صور,الجنوب
158,شيخان,Chikhane,جبيل,جبل لبنان
159,شيخلار,Chikhlar,عكار,عكار
160,شليفا,Chlifa,قضاءي بعلبك والهرمل,بعلبك والهرمل
161,شموت,Chmout,جبيل,جبل لبنان
162,شويا,Chouaya,قضاءي مرجعيون وحاصبيا,النبطية
163,شويا,Chouaya,المتن,جبل لبنان
164,شويت,Chouit,بعبدا,جبل لبنان
165,شوكين,Choukine,النبطية,النبطية
166,شوريت,Chourite,الشوف,جبل لبنان
167,شرين,Chrine,المتن,جبل لبنان
168,داعل,Dael,البترون,الشمال
169,دقون,Dakkoun,عاليه,جبل لبنان
170,دلهون,Dalhoune,الشوف,جبل لبنان
171,درعون,Daraoun,كسروان,جبل لبنان
172,داريا,Daraya,زغرتا,الشمال
173,داريا,Daraya,الشوف,جبل لبنان
174,داريا,Daraya,كسروان,جبل لبنان
175,دبعل,Debaael,الضنية,الشمال
176,دبل,Debel,بنت جبيل,النبطية
177,دده,Déddé,الكورة,الشمال
178,دلهميه,Delhamié,زحلة,البقاع
179,دردغيا,Derdaghaya,صور,الجنوب
180,دريا,Deria,البترون,الشمال
181,دفون,Dfoun,عاليه,جبل لبنان
182,دبين,Dibbine,قضاءي مرجعيون وحاصبيا,النبطية
183,جزين,Djezzine,جزين,الجنوب
184,دلبتا,Dlebta,كسروان,جبل لبنان
185,دميت,Dmite,الشوف,جبل لبنان
186,دوق,Douk,البترون,الشمال
187,دوما,Douma,البترون,الشمال
188,عدبل,Edbel,عكار,عكار
189,اده,Eddé,البترون,الشمال
190,اده,Eddé,جبيل,جبل لبنان
191,اهمج,Ehmège,جبيل,جبل لبنان
192,اجدبرا,Ejdabra,البترون,الشمال
193,العين,ElAyoune,قضاءي بعلبك والهرمل,بعلبك والهرمل
194,انفه,Enfeh,الكورة,الشمال
195,فيطرون,Faïtroun,كسروان,جبل لبنان
196,فالوغا,Falougha,بعبدا,جبل لبنان
197,فنار,Fanar,المتن,جبل لبنان
198,فاريا,Faraya,كسروان,جبل لبنان
199,فرحت,Farhat,جبيل,جبل لبنان
200,فتقا,Fatka,كسروان,جبل لبنان
201,فغال,Fghal,جبيل,جبل لبنان
202,فدار,Fidar,جبيل,جبل لبنان
203,فنيدق,Fneidek,عكار,عكار
204,فرات,Frat,جبيل,جبل لبنان
205,فريديس,Freidice,عكار,عكار
206,فرون,Froune,بنت جبيل,النبطية
207,غلبون,Ghalboune,جبيل,جبل لبنان
208,غريفه,Gharifé,الشوف,جبل لبنان
209,غرزوز,Gharzouze,جبيل,جبل لبنان
210,غزه,Ghazzé,قضاءي البقاع الغربي وراشيا,البقاع
211,غباله,Ghbélé,كسروان,جبل لبنان
212,غدراس,Ghodrace,كسروان,جبل لبنان
213,غرفين,Ghorfine,جبيل,جبل لبنان
214,غوسطا,Ghosta,كسروان,جبل لبنان
215,حبوش,Habbouche,النبطية,النبطية
216,حبشيت,Habchite,عكار,عكار
217,هابيل,Habil,جبيل,جبل لبنان
218,حبرامون,Habramoun,عاليه,جبل لبنان
219,حدشيت,Hadchite,بشري,الشمال
220,حدتون,Hadtoune,البترون,الشمال
221,حاقل,Hakel,جبيل,جبل لبنان
222,حالات,Halate,جبيل,جبل لبنان
223,حلبا,Halba,عكار,عكار
224,حلبتا,Halbata,قضاءي بعلبك والهرمل,بعلبك والهرمل
225,حام,Ham,قضاءي بعلبك والهرمل,بعلبك والهرمل
226,حامات,Hamat,البترون,الشمال
227,حمانا,Hammana,بعبدا,جبل لبنان
228,حانين,Hanine,بنت جبيل,النبطية
229,حرار,Harare,عكار,عكار
230,حربتا,Harbta,قضاءي بعلبك والهرمل,بعلبك والهرمل
231,حردين,Hardine,البترون,الشمال
232,حريصا,Harissa,كسروان,جبل لبنان
233,حاروف,Harouf,النبطية,النبطية
234,حصرون,Hasroune,بشري,الشمال
235,حصروت,Hasroute,الشوف,جبل لبنان
236,حوارة,Hawara,الضنية,الشمال
237,هيتلا,Haytla,عكار,عكار
238,حيزوق,Hayzouk,عكار,عكار
239,حبالين,Hbeline,جبيل,جبل لبنان
240,حجولا,Hejoula,جبيل,جبل لبنان
241,حلتا,Helta,البترون,الشمال
242,حملايا,Hemlaya,المتن,جبل لبنان
243,حصرايل,Hisraïl,جبيل,جبل لبنان
244,حزرتا,Hizzerta,زحلة,البقاع
245,حزين,Hizzine,قضاءي بعلبك والهرمل,بعلبك والهرمل
246,حميره,Hmairé,قضاءي بعلبك والهرمل,بعلبك والهرمل
247,حميص,Hmais,زغرتا,الشمال
248,حنيدر,Hnaïder,عكار,عكار
249,حولا,Houla,قضاءي مرجعيون وحاصبيا,النبطية
250,حومال,Houmale,عاليه,جبل لبنان
251,حراجل,Hrajel,كسروان,جبل لبنان
252,ايلات,Ilate,عكار,عكار
253,ايزال,Izal,الضنية,الشمال
254,عزه,Izzié,النبطية,النبطية
255,جاج,Jage,جبيل,جبل لبنان
256,جبيل,Jbail,جبيل,جبل لبنان
257,جبلا,Jebla,البترون,الشمال
258,جبرايل,Jebrâil,عكار,عكار
259,جدايل,Jeddeyel,جبيل,جبل لبنان
260,جعيتا,Jeita,كسروان,جبل لبنان
261,جنتا,Jennata,قضاءي بعلبك والهرمل,بعلبك والهرمل
262,جنسنايا,Jensnaya,جزين,الجنوب
263,جرنايا,Jernaya,جزين,الجنوب
264,جميجمه,Jmeijmé,بنت جبيل,النبطية
265,جبشيت,Jobchite,النبطية,النبطية
266,جويا,Jouaya,صور,الجنوب
267,جون,Joun,الشوف,جبل لبنان
268,جربتا,Jrabta,البترون,الشمال
269,جران,Jrane,البترون,الشمال
270,قبريخا,Kabrikha,قضاءي مرجعيون وحاصبيا,النبطية
271,قشلق,Kachlak,عكار,عكار
272,كفتون,Kaftoune,الكورة,الشمال
273,كيفون,Kaïfoun,عاليه,جبل لبنان
274,قيتولي,Kaïtoulé,جزين,الجنوب
275,قلاويه,Kalaouiyé,بنت جبيل,النبطية
276,قانا,Kana,صور,الجنوب
277,قناريت,Kanarite,قرى صيدا,الجنوب
278,كوكبا,Kaoukaba,قضاءي البقاع الغربي وراشيا,البقاع
279,كوكبا,Kaoukaba,قضاءي مرجعيون وحاصبيا,النبطية
280,قرحا,Karha,قضاءي بعلبك والهرمل,بعلبك والهرمل
281,قرحا,Karha,عكار,عكار
282,كرخا,Karkha,جزين,الجنوب
283,قرصيتا,Karseita,الضنية,الشمال
284,قرطاضة,Kartada,بعبدا,جبل لبنان
285,كترمايا,Katermaya,الشوف,جبل لبنان
286,قبولا,Kboula,عكار,عكار
287,كفريا,Kefraya,قضاءي البقاع الغربي وراشيا,البقاع
288,كفريا,Kefraya,قرى صيدا,الجنوب
289,كفريا,Kefraya,الكورة,الشمال
290,كفريا,Kefraya,زغرتا,الشمال
291,قهمز,Kehmez,جبيل,جبل لبنان
292,قلحات,Kelhate,الكورة,الشمال
293,قليا,Kélia,قضاءي البقاع الغربي وراشيا,البقاع
294,قرنايل,Kernayel,بعبدا,جبل لبنان
295,كفرشيما,Kfarchima,بعبدا,جبل لبنان
296,كفردان,Kfardan,قضاءي بعلبك والهرمل,بعلبك والهرمل
297,كفردونين,Kfardounine,بنت جبيل,النبطية
298,كفرفيلا,Kfarfila,النبطية,النبطية
299,كفرفو,Kfarfou,زغرتا,الشمال
300,كفرحيم,Kfarhime,الشوف,جبل لبنان
301,كفركلا,Kfarkala,قضاءي مرجعيون وحاصبيا,النبطية
302,كفرنيس,Kfarnice,الشوف,جبل لبنان
303,كفرنون,Kfarnoune,عكار,عكار
304,كفرتون,Kfartun,عكار,عكار
305,كفيفان,Kfifane,البترون,الشمال
306,خرطوم,Khartoum,قرى صيدا,الجنوب
307,خزيز,Khazize,قرى صيدا,الجنوب
308,قنيور,Knaiouer,بشري,الشمال
309,قنات,Knate,بشري,الشمال
310,كوبا,Kobbaï,البترون,الشمال
311,قرقريا,Korkraya,جبيل,جبل لبنان
312,كويخات,Koueikhat,عكار,عكار
313,كونين,Kounine,بنت جبيل,النبطية
314,كور,Kour,البترون,الشمال
315,كوسبا,Kousba,الكورة,الشمال
316,قصرنبا,Ksarnaba,قضاءي بعلبك والهرمل,بعلبك والهرمل
317,قتاله,Ktalé,بعبدا,جبل لبنان
318,لالا,Lala,قضاءي البقاع الغربي وراشيا,البقاع
319,لاسا,Lassa,جبيل,جبل لبنان
320,لبايا,Lebbaya,قضاءي البقاع الغربي وراشيا,البقاع
321,لحفد,Lehfed,جبيل,جبل لبنان
322,لوسيا,Loucia,قضاءي البقاع الغربي وراشيا,البقاع
323,معاد,Maad,جبيل,جبل لبنان
324,معراب,Maarab,كسروان,جبل لبنان
325,معربون,Maaraboun,قضاءي بعلبك والهرمل,بعلبك والهرمل
326,معصريتي,Maasraïti,عاليه,جبل لبنان
327,مشحا,Machha,عكار,عكار
328,مشمش,Machmouché,عكار,عكار
329,مشمش,Machmouché,جبيل,جبل لبنان
330,مغدوشه,Maghdouché,قرى صيدا,الجنوب
331,ميدون,Maïdoune,قضاءي البقاع الغربي وراشيا,البقاع
332,ميفدون,Maifadoune,النبطية,النبطية
333,ميفوق,Maïfouk,جبيل,جبل لبنان
334,مجدليون,Majdalioun,قرى صيدا,الجنوب
335,مجدلونا,Majdalouna,الشوف,جبل لبنان
336,مجدلزون,Majdalzoun,صور,الجنوب
337,مجدلون,Majdeloun,قضاءي بعلبك والهرمل,بعلبك والهرمل
338,مجدلا,Majdla,عكار,عكار
339,مكسه,Maksé,زحلة,البقاع
340,مقنه,Maqné,قضاءي بعلبك والهرمل,بعلبك والهرمل
341,مرجبا,Marjaba,المتن,جبل لبنان
342,مركبا,Markaba,قضاءي مرجعيون وحاصبيا,النبطية
343,مركبتا,Markabta,المنية,الشمال
344,مروحين,Marouhine,صور,الجنوب
345,ماسا,Massa,زحلة,البقاع
346,ميروبا,Mayrouba,كسروان,جبل لبنان
347,مزبود,Mazboud,الشوف,جبل لبنان
348,مشيخا,Mchikha,المتن,جبل لبنان
349,مدوخا,Mdoukha,قضاءي البقاع الغربي وراشيا,البقاع
350,مشان,Mechane,جبيل,جبل لبنان
351,محمرش,Mehemrech,البترون,الشمال
352,مجدليا,Mejdlaya,زغرتا,الشمال
353,متريت,Metrite,الكورة,الشمال
354,محيبيب,Mhaïbib,قضاءي مرجعيون وحاصبيا,النبطية
355,مقراق,Mikrak,قضاءي بعلبك والهرمل,بعلبك والهرمل
356,ميمس,Mimas,قضاءي مرجعيون وحاصبيا,النبطية
357,مزيارة,Miziara,زغرتا,الشمال
358,مجادل,Mjadel,صور,الجنوب
359,مجيدل,Mjaïdel,جزين,الجنوب
360,مليخ,Mlikh,جزين,الجنوب
361,منجز,Mounjez,عكار,عكار
362,مريجات,Mreijat,زحلة,البقاع
363,مرستي,Mristé,الشوف,جبل لبنان
364,نابيه,Nabiyeh,المتن,جبل لبنان
365,نحلا,Nahla,البترون,الشمال
366,نحله,Nahlé,قضاءي بعلبك والهرمل,بعلبك والهرمل
367,نيحا,Niha,زحلة,البقاع
368,نيحا,Niha,البترون,الشمال
369,نيحا,Niha,الشوف,جبل لبنان
370,عبيدات,Obeidate,جبيل,جبل لبنان
371,قبعيت,Qabbait,عكار,عكار
372,رعشين,Raachine,كسروان,جبل لبنان
373,راشا,Racha,البترون,الشمال
374,رشاف,Rachafe,بنت جبيل,النبطية
375,راشانا,Rachana,البترون,الشمال
376,رحبه,Rahbé,عكار,عكار
377,رعيت,Rait,زحلة,البقاع
378,رام,Ram,البترون,الشمال
379,راسكيفا,Raskifa,زغرتا,الشمال
380,رياق,Rayak,زحلة,البقاع
381,ريفون,Rayfoun,كسروان,جبل لبنان
382,رشدبين,Rechdebbine,الكورة,الشمال
383,رشكنانيه,Recheknaniyeh,صور,الجنوب
384,رشميا,Rechmaya,عاليه,جبل لبنان
385,رمحالا,Remhala,عاليه,جبل لبنان
386,ريحا,Riha,قضاءي بعلبك والهرمل,بعلبك والهرمل
387,رماح,Rmah,عكار,عكار
388,رميش,Rmeiche,بنت جبيل,النبطية
389,روم,Roum,جزين,الجنوب
390,روميه,Roumieh,المتن,جبل لبنان
391,رومين,Roumine,النبطية,النبطية
392,سعدين,Saadine,عكار,عكار
393,صباح,Sabbah,جزين,الجنوب
394,صديقين,Saddikine,صور,الجنوب
395,صغبين,Saghbine,قضاءي البقاع الغربي وراشيا,البقاع
396,صيدون,Saïdoune,جزين,الجنوب
397,سيسوق,Saïssouk,عكار,عكار
398,سلعاتا,Salaata,البترون,الشمال
399,صليما,Salima,بعبدا,جبل لبنان
400,سرحمول,Sarahmoul,عاليه,جبل لبنان
401,صربا,Sarba,النبطية,النبطية
402,صربا,Sarba,كسروان,جبل لبنان
403,صربين,Sarbine,بنت جبيل,النبطية
404,سبلين,Sebline,الشوف,جبل لبنان
405,سلفايا,Selfaya,عاليه,جبل لبنان
406,سير,Sir,الضنية,الشمال
407,سرجبال,Sirjbal,الشوف,جبل لبنان
408,سنيه,Sniyé,جزين,الجنوب
409,سحمر,Sohmor,قضاءي البقاع الغربي وراشيا,البقاع
410,صوانه,Souané,قضاءي مرجعيون وحاصبيا,النبطية
411,سجد,Soujoud,جزين,الجنوب
412,سرار,Srar,عكار,عكار
413,صريفا,Srifa,صور,الجنوب
414,طبرجا,Tabarja,كسروان,جبل لبنان
415,طليا,Talia,قضاءي بعلبك والهرمل,بعلبك والهرمل
416,طنبوريت,Tanbourite,قرى صيدا,الجنوب
417,البترون,,البترون,الشمال
418,الفتاحات وحربونا,,البترون,الشمال
419,آسيا,,البترون,الشمال
420,بشتودار,,البترون,الشمال
421,بيت شلالا,,البترون,الشمال
422,تنورين التحتا,,البترون,الشمال
423,تنورين الفوقا,,البترون,الشمال
424,دير بلا,,البترون,الشمال
425,راشكده,,البترون,الشمال
426,راشكيده,,البترون,الشمال
427,صغار,,البترون,الشمال
428,صورات,,البترون,الشمال
429,ضهر ابو ياغي,,البترون,الشمال
430,الباروك,El-Barouk,الشوف,جبل لبنان
431,عرتز,,البترون,الشمال
432,عورا,,البترون,الشمال
433,غوما,,البترون,الشمال
434,قندولا,,البترون,الشمال
435,كفر حتنا,,البترون,الشمال
436,البداوي,Al-Beddaoui,مدينة طرابلس,الشمال
437,كفر حلده,,البترون,الشمال
438,كفرحي,,البترون,الشمال
439,مراح الحاج,,البترون,الشمال
440,مراح الزيات,,البترون,الشمال
441,البرج,El-Borge,عكار,عكار
442,البرجين,El-Berjaine,الشوف,جبل لبنان
443,مراح شديد ودير شواح,,البترون,الشمال
444,مسرح والبقيعة,,البترون,الشمال
445,وجه الحجر,,البترون,الشمال
446,البطال,,الشوف,جبل لبنان
447,الجاهلية,,الشوف,جبل لبنان
448,الجميليه,,الشوف,جبل لبنان
449,الجيه,,الشوف,جبل لبنان
450,الدامور,,الشوف,جبل لبنان
451,الدبية,,الشوف,جبل لبنان
452,الرميله,,الشوف,جبل لبنان
453,الزعرورية,,الشوف,جبل لبنان
454,البنيه,El-Bennayé,عاليه,جبل لبنان
455,البوار,El-Bouar,كسروان,جبل لبنان
456,السمقانية,,الشوف,جبل لبنان
457,الفواره,,الشوف,جبل لبنان
458,الكحلونية,,الشوف,جبل لبنان
459,الكنيسة,,الشوف,جبل لبنان
460,البياض,El-Biyad,صور,الجنوب
461,البيره,El-Biré,قضاءي البقاع الغربي وراشيا,البقاع
462,البيره,El-Biré,عكار,عكار
463,البيره,El-Biré,الشوف,جبل لبنان
464,المحتقره دير المخلص,,الشوف,جبل لبنان
465,المطله,,الشوف,جبل لبنان
466,المغيريه,,الشوف,جبل لبنان
467,التل,El-Tellé,مدينة طرابلس,الشمال
468,التليل,El-Tleil,عكار,عكار
469,الناعمه,,الشوف,جبل لبنان
470,الوردانية,El-Wardaniyeh,الشوف,جبل لبنان
471,الورهانية,,الشوف,جبل لبنان
472,بريح,,الشوف,جبل لبنان
473,بعذران,,الشوف,جبل لبنان
474,بعقلين التحتا,,الشوف,جبل لبنان
475,بعقلين الفوقا,,الشوف,جبل لبنان
476,بقعاتا,,الشوف,جبل لبنان
477,الجديده,Al-Jdeidé,قضاءي بعلبك والهرمل,بعلبك والهرمل
478,الجديده,Al-Jdeidé,عكار,عكار
479,الجرمق,El-Jarmak,جزين,الجنوب
480,جباع,,الشوف,جبل لبنان
481,الجليليه,El-Jleiliyeh,الشوف,جبل لبنان
482,جدرا - وادي الزينة,,الشوف,جبل لبنان
483,الجوار,El-Jouar,المتن,جبل لبنان
484,جديدة الشوف,,الشوف,جبل لبنان
485,حارة الناعمه,,الشوف,جبل لبنان
486,حارة بعاصير,,الشوف,جبل لبنان
487,دير دوريت,,الشوف,جبل لبنان
488,الحازميه,El-Hazmieh,بعبدا,جبل لبنان
489,شحيم حي البدوي,,الشوف,جبل لبنان
490,شحيم حي البيادر,,الشوف,جبل لبنان
491,شحيم حي الجامع,,الشوف,جبل لبنان
492,شحيم حي السهله,,الشوف,جبل لبنان
493,شحيم حي الشريفة,,الشوف,جبل لبنان
494,شحيم حي الوسطاني,,الشوف,جبل لبنان
495,شحيم حي شحرور,,الشوف,جبل لبنان
496,الحرف,El-Harf,جزين,الجنوب
497,عين الاسد والشميس,,الشوف,جبل لبنان
498,عين الحور,,الشوف,جبل لبنان
499,الحصون,El-Hsoune,جبيل,جبل لبنان
500,الحصين,El-Hossein,كسروان,جبل لبنان
501,عين وزين,,الشوف,جبل لبنان
502,كفر قطره,,الشوف,جبل لبنان
503,كفرحي,,الشوف,جبل لبنان
504,كفرنبرخ,,الشوف,جبل لبنان
505,كليليه,,الشوف,جبل لبنان
506,مجدل المعوش,,الشوف,جبل لبنان
507,الحوش,El-Houaïche,قضاءي البقاع الغربي وراشيا,البقاع
508,مرج برجا,,الشوف,جبل لبنان
509,مزموره,,الشوف,جبل لبنان
510,الخاربه,El-Kharbé,جبيل,جبل لبنان
511,الخرايب,Al-Kharayeb,قضاءي بعلبك والهرمل,بعلبك والهرمل
512,الخرايب,Al-Kharayeb,قرى صيدا,الجنوب
513,الخرنوب,Al-Kharnoubé,الضنية,الشمال
514,الخريبه,Al-Khraibé,قضاءي بعلبك والهرمل,بعلبك والهرمل
515,الخريبه,Al-Khraibé,الشوف,جبل لبنان
516,الخريبه,Al-Khraibé,بعبدا,جبل لبنان
517,وادي بنحليه,,الشوف,جبل لبنان
518,وادي دير دوريت,,الشوف,جبل لبنان
519,الحازمية,,الضنية,الشمال
520,الروضة,,الضنية,الشمال
521,السفيرة,,الضنية,الشمال
522,القطين,,الضنية,الشمال
523,الخله,El-Khellé,المتن,جبل لبنان
524,الخلوات,El-Khalouat,قضاءي مرجعيون وحاصبيا,النبطية
525,الخلوات,El-Khalouat,بعبدا,جبل لبنان
526,القمامين,,الضنية,الشمال
527,المطل,,الضنية,الشمال
528,بحويتا,,الضنية,الشمال
529,بخعون,,الضنية,الشمال
530,بقرصونه,,الضنية,الشمال
531,بيت الفقس,,الضنية,الشمال
532,حرف السياد,,الضنية,الشمال
533,حقل العزيمه,,الضنية,الشمال
534,عزقي,,الضنية,الشمال
535,الدغلي,El-Daghlé,عكار,عكار
536,عيمار,,الضنية,الشمال
537,عين التينة,Aïn-El-Tiné,الضنية,الشمال
538,قزحيا,,الضنية,الشمال
539,الدليبه,El-Dleibé,بعبدا,جبل لبنان
540,كرم المهر,,الضنية,الشمال
541,كفربنين,,الضنية,الشمال
542,كهف الملول,,الضنية,الشمال
543,مراح السريج,,الضنية,الشمال
544,الديشونيه,El-Dechouniyeh,المتن,جبل لبنان
545,الديمان,El-Dimane,بشري,الشمال
546,مراح السفيرة,,الضنية,الشمال
547,الرام,El-Ram,قضاءي بعلبك والهرمل,بعلبك والهرمل
548,الرامة,Aramté,عكار,عكار
549,الراموط,El-Ramout,جبيل,جبل لبنان
