,English Name,Arabic Name,Column2,Column3
130,Majdel,,Akkar,Akkar
131,Majdla,مجدلا,Akkar,Akkar
132,Mar Touma,مار توما,Akkar,Akkar
133,Mazraat Baldé,مزرعة بلده,Akkar,Akkar
134,Mazraet-El-Nahrieh,,Akkar,Akkar
135,Mechaïlha Hakour,,Akkar,Akkar
136,Merlayet Melhem,,Akkar,Akkar
137,Michmiche,,Akkar,Akkar
138,Mimnih,,Akkar,Akkar
139,Minyara,,Akkar,Akkar
140,Mounjez,منجز,Akkar,Akkar
141,Mqaibleh,,Akkar,Akkar
142,Noura El-Faouka et Tahta,,Akkar,Akkar
143,Omar el-Beikate,عمار البيكات,Akkar,Akkar
144,Ouadi El-Jamous,,Akkar,Akkar
145,Ouadi Khaled,,Akkar,Akkar
146,Qabbait,قبعيت,Akkar,Akkar
147,Qarha,,Akkar,Akkar
148,Rahbé,رحبه,Akkar,Akkar
149,Rmah,رماح,Akkar,Akkar
150,Saadine,سعدين,Akkar,Akkar
151,Sadaka,,Akkar,Akkar
152,Safiné-El-Kayteh,,Akkar,Akkar
153,Saïdnaya,,Akkar,Akkar
154,Saïssouk,سيسوق,Akkar,Akkar
155,Sfeinite El-Dreibe,سفينة الدريب,Akkar,Akkar
156,Shadra,,Akkar,Akkar
157,Sindianet Zeidan,,Akkar,Akkar
158,Srar,سرار,Akkar,Akkar
159,Tal Abbas El-Charkié,,Akkar,Akkar
160,Tal Abbas El-gharbié,,Akkar,Akkar
161,Tal Biré,,Akkar,Akkar
162,Tal Homeira,,Akkar,Akkar
163,Tal Kerri,,Akkar,Akkar
164,Tal Sibhel,,Akkar,Akkar
165,Tellé et Chattaha,,Akkar,Akkar
166,Tikrite,تكريت,Akkar,Akkar
167,Tshea,,Akkar,Akkar
168,Wadi el-Haour,وادي الحور,Akkar,Akkar
169,Zouk-El-Habalça,,Akkar,Akkar
170,Zouk-El-Hosmieh et Dahr Ayasse,,Akkar,Akkar
171,Zouk el Moukachérine,,Akkar,Akkar
172,Al-Rihanié,,Minieh-Danieh,Akkar
173,Addous,,Baalbeck,Baalbak - Hermel
174,Aïn Bourday,,Baalbeck,Baalbak - Hermel
175,Aïn El-Beniyé,,Baalbeck,Baalbak - Hermel
176,Aïn El-Jaouzé,,Baalbeck,Baalbak - Hermel
177,Aïn Séa et Chadourah,,Baalbeck,Baalbak - Hermel
178,Aïnata,,Baalbeck,Baalbak - Hermel
179,Al-Aïne,,Baalbeck,Baalbak - Hermel
180,Al-Fakiat,,Baalbeck,Baalbak - Hermel
181,Al-Khodré,,Baalbeck,Baalbak - Hermel
182,Al-Labouat,,Baalbeck,Baalbak - Hermel
183,Al-Nabi Chite,,Baalbeck,Baalbak - Hermel
184,Al-Nabi Osman,,Baalbeck,Baalbak - Hermel
185,Al-Qa Bayoun,,Baalbeck,Baalbak - Hermel
186,Al-Qa El-Benjakie,,Baalbeck,Baalbak - Hermel
187,Al-Qa Jouar Mekie,,Baalbeck,Baalbak - Hermel
188,Al-Qa Wadi El-Khanzir,,Baalbeck,Baalbak - Hermel
189,Al-Saïdat,,Baalbeck,Baalbak - Hermel
190,Al-Taybat,,Baalbeck,Baalbak - Hermel
191,Arsale,,Baalbeck,Baalbak - Hermel
192,Baalbek,,Baalbeck,Baalbak - Hermel
193,Bachwat,,Baalbeck,Baalbak - Hermel
194,Bait Chama,,Baalbeck,Baalbak - Hermel
195,Barka,,Baalbeck,Baalbak - Hermel
196,Bednayel,,Baalbeck,Baalbak - Hermel
197,Bouday,,Baalbeck,Baalbak - Hermel
198,Brital,,Baalbeck,Baalbak - Hermel
199,Btédy,,Baalbeck,Baalbak - Hermel
200,Chaat,,Baalbeck,Baalbak - Hermel
201,Chaïbé,,Baalbeck,Baalbak - Hermel
202,Chemistar,,Baalbeck,Baalbak - Hermel
203,Chlifa,شليفا,Baalbeck,Baalbak - Hermel
204,Conflict,,Baalbeck,Baalbak - Hermel
205,Couvent St Maron,,Baalbeck,Baalbak - Hermel
206,Dair El-Ahmar,دير الاحمر,Baalbeck,Baalbak - Hermel
207,Dar El-Ouassia,,Baalbeck,Baalbak - Hermel
208,Douress,,Baalbeck,Baalbak - Hermel
209,El-Ram,الرام,Baalbeck,Baalbak - Hermel
210,Haddet,,Baalbeck,Baalbak - Hermel
211,Ham,حام,Baalbeck,Baalbak - Hermel
212,Haouch el Nabi,,Baalbeck,Baalbak - Hermel
213,Haouche Al-Sonaid,,Baalbeck,Baalbak - Hermel
214,Haouche Barada,حوش بردى,Baalbeck,Baalbak - Hermel
215,Haouche El-Dahab,,Baalbeck,Baalbak - Hermel
216,Haouche el-Rafika,,Baalbeck,Baalbak - Hermel
217,Haouche El-Tal Safyat,,Baalbeck,Baalbak - Hermel
218,Harbta,حربتا,Baalbeck,Baalbak - Hermel
219,Hizzine,حزين,Baalbeck,Baalbak - Hermel
220,Hourtala,,Baalbeck,Baalbak - Hermel
221,Jabba,,Baalbeck,Baalbak - Hermel
222,Jaboulé et Al-Bijage,,Baalbeck,Baalbak - Hermel
223,Jenta,,Baalbeck,Baalbak - Hermel
224,Karha,قرحا,Baalbeck,Baalbak - Hermel
225,Kfar Dabache,,Baalbeck,Baalbak - Hermel
226,Kfardan,كفردان,Baalbeck,Baalbak - Hermel
227,Khreibé,,Baalbeck,Baalbak - Hermel
228,Knaissat,,Baalbeck,Baalbak - Hermel
229,Ksarnaba,قصرنبا,Baalbeck,Baalbak - Hermel
230,litige,,Baalbeck,Baalbak - Hermel
231,Maaraboun,معربون,Baalbeck,Baalbak - Hermel
232,Majdeloun,مجدلون,Baalbeck,Baalbak - Hermel
233,Maqné,مقنه,Baalbeck,Baalbak - Hermel
234,Mazraet Beit Mcheik,,Baalbeck,Baalbak - Hermel
235,Mikrak,مقراق,Baalbeck,Baalbak - Hermel
236,Misraya,,Baalbeck,Baalbak - Hermel
237,Nabha,,Baalbeck,Baalbak - Hermel
238,Nabi Sbate,,Baalbeck,Baalbak - Hermel
239,Nahlé,نحله,Baalbeck,Baalbak - Hermel
240,Oummouchki,,Baalbeck,Baalbak - Hermel
241,Ras Baalbek El-Charki,,Baalbeck,Baalbak - Hermel
242,Ras Baalbek El-Sahl,,Baalbeck,Baalbak - Hermel
243,Riha,ريحا,Baalbeck,Baalbak - Hermel
244,Sbouba,,Baalbeck,Baalbak - Hermel
245,Serraaine El Faouka,,Baalbeck,Baalbak - Hermel
246,Serraaine El Tahta,,Baalbeck,Baalbak - Hermel
247,Slouky,,Baalbeck,Baalbak - Hermel
248,Talia,طليا,Baalbeck,Baalbak - Hermel
249,Tamnine-el-Fauqa,,Baalbeck,Baalbak - Hermel
250,Tamnine El-Tahta,تمنين التحتا,Baalbeck,Baalbak - Hermel
251,Taraya,,Baalbeck,Baalbak - Hermel
252,Tfeil,طفيل,Baalbeck,Baalbak - Hermel
253,Yahfoufa,يحفوفا,Baalbeck,Baalbak - Hermel
254,Yamouné,,Baalbeck,Baalbak - Hermel
255,Yât,,Baalbeck,Baalbak - Hermel
256,Younine,,Baalbeck,Baalbak - Hermel
257,Zaboud,زبود,Baalbeck,Baalbak - Hermel
258,Al-Kharayeb,,Hermel,Baalbak - Hermel
259,Conflict,,Hermel,Baalbak - Hermel
260,El-Méaisseri,,Hermel,Baalbak - Hermel
261,Halbata,حلبتا,Hermel,Baalbak - Hermel
262,Hermel,,Hermel,Baalbak - Hermel
263,Hermel Charbine,,Hermel,Baalbak - Hermel
264,Hermel Djebab,,Hermel,Baalbak - Hermel
265,Hermel Zighrine,,Hermel,Baalbak - Hermel
266,Michaa Mrajhiné,,Hermel,Baalbak - Hermel
267,Ouadi El-Osse,,Hermel,Baalbak - Hermel
268,Ouadi Faara,,Hermel,Baalbak - Hermel
269,Ras-Baalbek - Wadi Faara,,Hermel,Baalbak - Hermel
270,Ras Baalbek El-Gharbi,,Hermel,Baalbak - Hermel
271,Achrafieh,الاشرفية,Beirut,Beirut
272,Ain el-Mreissé,,Beirut,Beirut
273,Bachoura,الباشورة,Beirut,Beirut
274,Beirut Central District,,Beirut,Beirut
275,Mazraa,,Beirut,Beirut
276,Medawar,,Beirut,Beirut
277,Minet el-Hosn,ميناء الحصن,Beirut,Beirut
278,Moussaytbeh,,Beirut,Beirut
279,Port,,Beirut,Beirut
280,Ras Beyrouth,رأس بيروت,Beirut,Beirut
281,Remeil,الرميل,Beirut,Beirut
282,Saifé,,Beirut,Beirut
283,Zoukak el-Blatt,زقاق البلاط,Beirut,Beirut
284,Aïha,,Rachiaya,Bekaa
285,Aïn Aata,,Rachiaya,Bekaa
286,Aïn Arab,,Rachiaya,Bekaa
287,Aïn Horché,,Rachiaya,Bekaa
288,Aïta El-Fokhar,,Rachiaya,Bekaa
289,Akabé,,Rachiaya,Bekaa
290,Bakka,,Rachiaya,Bekaa
291,Bakkifa,,Rachiaya,Bekaa
292,Beit Lahia,,Rachiaya,Bekaa
293,Conflict,,Rachiaya,Bekaa
294,Dahr El-Ahmar,,Rachiaya,Bekaa
295,Deir El-Achayer,,Rachiaya,Bekaa
296,El-Biré,,Rachiaya,Bekaa
297,El-RafidE,الرفيد,Rachiaya,Bekaa
298,Haouche El-Kannabé,,Rachiaya,Bekaa
299,Héloua,,Rachiaya,Bekaa
300,Kaoukaba,كوكبا,Rachiaya,Bekaa
301,Kfar Dinès,,Rachiaya,Bekaa
302,Kfar Kouk,,Rachiaya,Bekaa
303,Kfar Mechké,,Rachiaya,Bekaa
304,Kherbet Rouha,خربة روحا,Rachiaya,Bekaa
305,litige,,Rachiaya,Bekaa
306,Majdel Balhice,,Rachiaya,Bekaa
307,Mazraet el-Selasata,,Rachiaya,Bekaa
308,Mdoukha,مدوخا,Rachiaya,Bekaa
309,Mohaïdcé,,Rachiaya,Bekaa
310,Nabi Safa,,Rachiaya,Bekaa
311,Rachaya El-Wadi,,Rachiaya,Bekaa
312,Tannoura,,Rachiaya,Bekaa
313,Yanta,ينطا,Rachiaya,Bekaa
314,Aïn-el-Tiné,عين التينة,West Bekaa,Bekaa
315,Aïn-Zebdé,,West Bekaa,Bekaa
316,Aïtanit,,West Bekaa,Bekaa
317,Al-Djeziré,,West Bekaa,Bekaa
318,Al-Istable,,West Bekaa,Bekaa
319,Al-Khiara,,West Bekaa,Bekaa
320,Al-Marje,,West Bekaa,Bekaa
321,Al-Sawiré,,West Bekaa,Bekaa
322,Al-Wakf,,West Bekaa,Bekaa
323,"Ammik et ""Jouret Ammik""",,West Bekaa,Bekaa
324,Ana,,West Bekaa,Bekaa
325,Baaloul,,West Bekaa,Bekaa
326,Bab Mareh,,West Bekaa,Bekaa
327,"Chouberkié ""Ammik""",,West Bekaa,Bekaa
328,Dair Tahmiche,,West Bekaa,Bekaa
329,Dakoué,,West Bekaa,Bekaa
330,Deir-Aïn-el-Jaouzé,,West Bekaa,Bekaa
331,El-Karaoun,,West Bekaa,Bekaa
332,Ghazzé,غزه,West Bekaa,Bekaa
333,Hamara,,West Bekaa,Bekaa
334,Haouche-el-Harimé,,West Bekaa,Bekaa
335,Harime-el-Soughra,,West Bekaa,Bekaa
336,Jib Jénine,جب جنين,West Bekaa,Bekaa
337,Kamed-el-Lauze,,West Bekaa,Bekaa
338,Kefraya,كفريا,West Bekaa,Bekaa
339,Kélia,قليا,West Bekaa,Bekaa
340,Kherbet Kanafar,خربة قنافار,West Bekaa,Bekaa
341,Khiara-el-Atika,,West Bekaa,Bekaa
342,Lala,لالا,West Bekaa,Bekaa
343,Lebbaya,لبايا,West Bekaa,Bekaa
344,Loucia,لوسيا,West Bekaa,Bekaa
345,Machghara,,West Bekaa,Bekaa
346,Maïdoune,ميدون,West Bekaa,Bekaa
347,Mansoura,,West Bekaa,Bekaa
348,n.a. (4),,West Bekaa,Bekaa
349,Saghbine,صغبين,West Bekaa,Bekaa
350,Sohmor,سحمر,West Bekaa,Bekaa
351,Soltan-Yacoub,,West Bekaa,Bekaa
352,Tal Zenoub,تل ذنوب,West Bekaa,Bekaa
353,Yohmor,يحمر,West Bekaa,Bekaa
354,Zellaya,زلايا,West Bekaa,Bekaa
355,Ablah,,Zahleh,Bekaa
356,Aïn Kfar Zabed,,Zahleh,Bekaa
357,Al-Ali-Nahri,,Zahleh,Bekaa
358,Al-Mazraa,,Zahleh,Bekaa
359,Al-Nabi Aïla,,Zahleh,Bekaa
360,Al-Nasriyé,,Zahleh,Bekaa
361,Anjar,,Zahleh,Bekaa
362,Bar-Elias,بر الياس,Zahleh,Bekaa
363,Bouerije,,Zahleh,Bekaa
364,Chouberkié  Tabet,,Zahleh,Bekaa
365,Chtaura,,Zahleh,Bekaa
366,Conflict,,Zahleh,Bekaa
367,Dair-el-Ghazel,,Zahleh,Bekaa
368,Delhamié,,Zahleh,Bekaa
369,Fourzol,,Zahleh,Bekaa
370,Haouche-al-Omara (Terres),,Zahleh,Bekaa
371,Haouche-el-Ghanam,,Zahleh,Bekaa
372,Haouche Hala,حوش حالا,Zahleh,Bekaa
373,Haouche Kaissar,,Zahleh,Bekaa
374,Haouche Sayadi,,Zahleh,Bekaa
375,Hizzerta,حزرتا,Zahleh,Bekaa
376,Hochemoche,,Zahleh,Bekaa
377,Jditah,,Zahleh,Bekaa
378,Kaa-el-Rime,,Zahleh,Bekaa
379,Kab Elias,,Zahleh,Bekaa
380,Kfar Zabed,,Zahleh,Bekaa
381,Koussaya,,Zahleh,Bekaa
382,Ksara,,Zahleh,Bekaa
383,Maallaka (Terres),,Zahleh,Bekaa
384,Maazraat-el-Ramtanieh,,Zahleh,Bekaa
385,Maksé,مكسه,Zahleh,Bekaa
386,Mandara,,Zahleh,Bekaa
387,Massa,ماسا,Zahleh,Bekaa
388,Mejdel-Anjar,,Zahleh,Bekaa
389,Mreijat,مريجات,Zahleh,Bekaa
390,Nasriyat Rizk,,Zahleh,Bekaa
391,Niha,نيحا,Zahleh,Bekaa
392,Rait,رعيت,Zahleh,Bekaa
393,Rayak,رياق,Zahleh,Bekaa
394,Saïd Neil,,Zahleh,Bekaa
395,Tal-al-Amara,,Zahleh,Bekaa
396,Tal-el-Akhdar,,Zahleh,Bekaa
397,Talabaya,,Zahleh,Bekaa
398,Tanaïl,,Zahleh,Bekaa
399,Tchiflik Eddé,,Zahleh,Bekaa
400,Tchiflik Kikano,,Zahleh,Bekaa
401,Terbol,تربل,Zahleh,Bekaa
402,Touaité,,Zahleh,Bekaa
403,Wadi-el-Arayeche,,Zahleh,Bekaa
404,Wadi-el-Dalam,,Zahleh,Bekaa
405,Zahlé (Terres),,Zahleh,Bekaa
406,Zahlé Al-Rassié,,Zahleh,Bekaa
407,Zahlé Barbara,,Zahleh,Bekaa
408,Zahlé Haouche Al-Oumara,,Zahleh,Bekaa
409,Zahlé Haouche Al-Zaraané,,Zahleh,Bekaa
410,Zahlé Maallaka Kerek,,Zahleh,Bekaa
411,Zahlé Mar Antonios,,Zahleh,Bekaa
412,Zahlé Mar Elias,,Zahleh,Bekaa
413,Zahlé Mar Gérios,,Zahleh,Bekaa
414,Zahlé Midan,,Zahleh,Bekaa
415,Zahlé Saidet Al-Najda,,Zahleh,Bekaa
416,Zebdol,,Zahleh,Bekaa
417,Abey,عبيه,Aley,Mount Lebanon
418,Aghmide,,Aley,Mount Lebanon
419,Aïn-Dara,,Aley,Mount Lebanon
420,Aïn-El-Jdeidé,,Aley,Mount Lebanon
421,Aïn-Enoub,,Aley,Mount Lebanon
422,Aïn-Rommané,,Aley,Mount Lebanon
423,Aïn Drafile,,Aley,Mount Lebanon
424,Aïn El-Halzoune,,Aley,Mount Lebanon
425,Aïn Ksour,,Aley,Mount Lebanon
426,Ain Saideh,,Aley,Mount Lebanon
427,Aïn Sofar,,Aley,Mount Lebanon
428,Aïn Traz,,Aley,Mount Lebanon
429,Aïnab,,Aley,Mount Lebanon
430,Aïtate,,Aley,Mount Lebanon
431,Aley,,Aley,Mount Lebanon
432,Aramoun,,Aley,Mount Lebanon
433,Baïssour,,Aley,Mount Lebanon
434,Baouarta,,Aley,Mount Lebanon
435,Bchamoune,,Aley,Mount Lebanon
436,Bdédoune,,Aley,Mount Lebanon
437,Bedghane,,Aley,Mount Lebanon
438,Bhamdoun (Gare),,Aley,Mount Lebanon
439,Bhamdoun (Village),بحمدون,Aley,Mount Lebanon
440,Bhouara,,Aley,Mount Lebanon
441,Bisrine,,Aley,Mount Lebanon
442,Bkhichtay,بخشتيه,Aley,Mount Lebanon
443,Bleibel,,Aley,Mount Lebanon
444,Bmakkine,,Aley,Mount Lebanon
445,Bmehraï,,Aley,Mount Lebanon
446,Bouzridé,,Aley,Mount Lebanon
447,Bsous,,Aley,Mount Lebanon
448,Btallaoun,,Aley,Mount Lebanon
449,Btater,,Aley,Mount Lebanon
450,Bteezanieh,,Aley,Mount Lebanon
451,Chamlane,,Aley,Mount Lebanon
452,Chanay,,Aley,Mount Lebanon
453,Charoun,,Aley,Mount Lebanon
454,Chartoun,,Aley,Mount Lebanon
455,Chouaifat Amroussyat,,Aley,Mount Lebanon
456,Chouaifat Oumara,,Aley,Mount Lebanon
457,Chouaifat Qobbat,,Aley,Mount Lebanon
458,Dakkoun,,Aley,Mount Lebanon
459,Deir-Koubel,,Aley,Mount Lebanon
460,Dfoun,,Aley,Mount Lebanon
461,Douair El-Roummane,,Aley,Mount Lebanon
462,EL-Azouniyeh,العزونية,Aley,Mount Lebanon
463,El-Bennayé,,Aley,Mount Lebanon
464,El-Fsaïkine,,Aley,Mount Lebanon
465,El-Ghaboun,,Aley,Mount Lebanon
466,El-Kahalé,,Aley,Mount Lebanon
467,El-Kamatiyeh,,Aley,Mount Lebanon
468,El-Mansouriyeh et Aïn-El-Marge,,Aley,Mount Lebanon
469,El-Mechrefeh,,Aley,Mount Lebanon
470,El-Mreijate,,Aley,Mount Lebanon
471,El-Ramliyeh,,Aley,Mount Lebanon
472,El-Rejmeh,,Aley,Mount Lebanon
473,Habramoun,,Aley,Mount Lebanon
474,Homs et Hama,,Aley,Mount Lebanon
475,Houmale,,Aley,Mount Lebanon
476,Kaïfoun,,Aley,Mount Lebanon
477,Kfar-Aammay,,Aley,Mount Lebanon
478,Kfar Matta,,Aley,Mount Lebanon
479,litige,,Aley,Mount Lebanon
480,Maasraïti,معصريتي,Aley,Mount Lebanon
481,Majdel Baana,مجدل بعنا,Aley,Mount Lebanon
482,Mazraet El-Nahr,مزرعة النهر,Aley,Mount Lebanon
483,Mchakhté,,Aley,Mount Lebanon
484,Mejdlaya,مجدلايا,Aley,Mount Lebanon
485,Rechmaya,رشميا,Aley,Mount Lebanon
486,Remhala,رمحالا,Aley,Mount Lebanon
487,Roueissat El-Naaman,رويسة النعمان,Aley,Mount Lebanon
488,Sarahmoul,سرحمول,Aley,Mount Lebanon
489,Selfaya,سلفايا,Aley,Mount Lebanon
490,Souk-El-Gharb,سوق الغرب,Aley,Mount Lebanon
491,Aïn Mouaffak,,Baabda,Mount Lebanon
492,Araya,,Baabda,Mount Lebanon
493,Arsoune,,Baabda,Mount Lebanon
494,Baabda,,Baabda,Mount Lebanon
495,Baalchemay,,Baabda,Mount Lebanon
496,Bmariam,,Baabda,Mount Lebanon
497,Borge el Baragenat,,Baabda,Mount Lebanon
498,Boutchay,,Baabda,Mount Lebanon
499,Bsaba Wadi Dlab,,Baabda,Mount Lebanon
500,Btebiat,,Baabda,Mount Lebanon
501,Btekhnay,,Baabda,Mount Lebanon
502,Bzebdine,,Baabda,Mount Lebanon
503,Chbaniyeh,,Baabda,Mount Lebanon
504,Chiah,,Baabda,Mount Lebanon
505,Chouit,,Baabda,Mount Lebanon
506,Deir El-Harf,,Baabda,Mount Lebanon
507,Deir Khouna,,Baabda,Mount Lebanon
508,El-Abadiyeh,,Baabda,Mount Lebanon
509,El-Chmeice,,Baabda,Mount Lebanon
510,El-Dleibé,,Baabda,Mount Lebanon
511,El-Erbaniyeh,,Baabda,Mount Lebanon
512,El-Kalaa,,Baabda,Mount Lebanon
513,El-Khalouat,,Baabda,Mount Lebanon
514,El-Khreibé,,Baabda,Mount Lebanon
515,El-Kneissé,,Baabda,Mount Lebanon
516,El-Krayé,,Baabda,Mount Lebanon
517,El-Ksaibeh,,Baabda,Mount Lebanon
518,El Halaliyeh,,Baabda,Mount Lebanon
519,Falougha,,Baabda,Mount Lebanon
520,Forn El-Chobbek,,Baabda,Mount Lebanon
521,Ghbayreh,,Baabda,Mount Lebanon
522,Hadace,,Baabda,Mount Lebanon
523,Hammana,,Baabda,Mount Lebanon
524,Haret -el-Sit,,Baabda,Mount Lebanon
525,Haret Hamzé,,Baabda,Mount Lebanon
526,Haret Horaïk,,Baabda,Mount Lebanon
527,Hasbaya-el Meten,,Baabda,Mount Lebanon
528,Hazmiyeh,,Baabda,Mount Lebanon
529,Jouar el Haouz,,Baabda,Mount Lebanon
530,Jouret Arsoune,,Baabda,Mount Lebanon
531,Kartada,,Baabda,Mount Lebanon
532,Kernayel,,Baabda,Mount Lebanon
533,Kfar Selouane,,Baabda,Mount Lebanon
534,Kfarchima,,Baabda,Mount Lebanon
535,Kobbaï,,Baabda,Mount Lebanon
536,Ktalé,,Baabda,Mount Lebanon
537,Laylaki,,Baabda,Mount Lebanon
538,Louaizé,,Baabda,Mount Lebanon
539,Mardachat,,Baabda,Mount Lebanon
540,Mazraet-el-Mzeiraa,,Baabda,Mount Lebanon
541,Ras-el-Harf,,Baabda,Mount Lebanon
542,Ras el Meten,,Baabda,Mount Lebanon
543,Roueissat-el-Ballout,,Baabda,Mount Lebanon
544,Salima,صليما,Baabda,Mount Lebanon
545,Tahouitat-el-Ghadir,,Baabda,Mount Lebanon
546,Tarchiche,ترشيش,Baabda,Mount Lebanon
547,Wadi Chahrour el Olia,,Baabda,Mount Lebanon
