,Column1,Village Name,English Name,District Name,Mohafaza
167,167,شرين,Chrine,المتن,جبل لبنان
168,168,داعل,Dael,البترون,الشمال
169,169,دقون,Dakkoun,عاليه,جبل لبنان
170,170,دلهون,Dalhoune,الشوف,جبل لبنان
171,171,درعون,Daraoun,كسروان,جبل لبنان
172,172,داريا,Daraya,زغرتا,الشمال
173,173,داريا,Daraya,الشوف,جبل لبنان
174,174,داريا,Daraya,كسروان,جبل لبنان
175,175,دبعل,Debaael,الضنية,الشمال
176,176,دبل,Debel,بنت جبيل,النبطية
177,177,دده,Déddé,الكورة,الشمال
178,178,دلهميه,Delhamié,زحلة,البقاع
179,179,دردغيا,Derdaghaya,صور,الجنوب
180,180,دريا,Deria,البترون,الشمال
181,181,دفون,Dfoun,عاليه,جبل لبنان
182,182,دبين,Dibbine,قضاءي مرجعيون وحاصبيا,النبطية
183,183,جزين,Djezzine,جزين,الجنوب
184,184,دلبتا,Dlebta,كسروان,جبل لبنان
185,185,دميت,Dmite,الشوف,جبل لبنان
186,186,دوق,Douk,البترون,الشمال
187,187,دوما,Douma,البترون,الشمال
188,188,عدبل,Edbel,عكار,عكار
189,189,اده,Eddé,البترون,الشمال
190,190,اده,Eddé,جبيل,جبل لبنان
191,191,اهمج,Ehmège,جبيل,جبل لبنان
192,192,اجدبرا,Ejdabra,البترون,الشمال
193,193,العين,ElAyoune,قضاءي بعلبك والهرمل,بعلبك والهرمل
194,194,انفه,Enfeh,الكورة,الشمال
195,195,فيطرون,Faïtroun,كسروان,جبل لبنان
196,196,فالوغا,Falougha,بعبدا,جبل لبنان
197,197,فنار,Fanar,المتن,جبل لبنان
198,198,فاريا,Faraya,كسروان,جبل لبنان
199,199,فرحت,Farhat,جبيل,جبل لبنان
200,200,فتقا,Fatka,كسروان,جبل لبنان
201,201,فغال,Fghal,جبيل,جبل لبنان
202,202,فدار,Fidar,جبيل,جبل لبنان
203,203,فنيدق,Fneidek,عكار,عكار
204,204,فرات,Frat,جبيل,جبل لبنان
205,205,فريديس,Freidice,عكار,عكار
206,206,فرون,Froune,بنت جبيل,النبطية
207,207,غلبون,Ghalboune,جبيل,جبل لبنان
208,208,غريفه,Gharifé,الشوف,جبل لبنان
209,209,غرزوز,Gharzouze,جبيل,جبل لبنان
210,210,غزه,Ghazzé,قضاءي البقاع الغربي وراشيا,البقاع
211,211,غباله,Ghbélé,كسروان,جبل لبنان
212,212,غدراس,Ghodrace,كسروان,جبل لبنان
213,213,غرفين,Ghorfine,جبيل,جبل لبنان
214,214,غوسطا,Ghosta,كسروان,جبل لبنان
215,215,حبوش,Habbouche,النبطية,النبطية
216,216,حبشيت,Habchite,عكار,عكار
217,217,هابيل,Habil,جبيل,جبل لبنان
218,218,حبرامون,Habramoun,عاليه,جبل لبنان
219,219,حدشيت,Hadchite,بشري,الشمال
220,220,حدتون,Hadtoune,البترون,الشمال
221,221,حاقل,Hakel,جبيل,جبل لبنان
222,222,حالات,Halate,جبيل,جبل لبنان
223,223,حلبا,Halba,عكار,عكار
224,224,حلبتا,Halbata,قضاءي بعلبك والهرمل,بعلبك والهرمل
225,225,حام,Ham,قضاءي بعلبك والهرمل,بعلبك والهرمل
226,226,حامات,Hamat,البترون,الشمال
227,227,حمانا,Hammana,بعبدا,جبل لبنان
228,228,حانين,Hanine,بنت جبيل,النبطية
229,229,حرار,Harare,عكار,عكار
230,230,حربتا,Harbta,قضاءي بعلبك والهرمل,بعلبك والهرمل
231,231,حردين,Hardine,البترون,الشمال
232,232,حريصا,Harissa,كسروان,جبل لبنان
233,233,حاروف,Harouf,النبطية,النبطية
234,234,حصرون,Hasroune,بشري,الشمال
235,235,حصروت,Hasroute,الشوف,جبل لبنان
236,236,حوارة,Hawara,الضنية,الشمال
237,237,هيتلا,Haytla,عكار,عكار
238,238,حيزوق,Hayzouk,عكار,عكار
239,239,حبالين,Hbeline,جبيل,جبل لبنان
240,240,حجولا,Hejoula,جبيل,جبل لبنان
241,241,حلتا,Helta,البترون,الشمال
242,242,حملايا,Hemlaya,المتن,جبل لبنان
243,243,حصرايل,Hisraïl,جبيل,جبل لبنان
244,244,حزرتا,Hizzerta,زحلة,البقاع
245,245,حزين,Hizzine,قضاءي بعلبك والهرمل,بعلبك والهرمل
246,246,حميره,Hmairé,قضاءي بعلبك والهرمل,بعلبك والهرمل
247,247,حميص,Hmais,زغرتا,الشمال
248,248,حنيدر,Hnaïder,عكار,عكار
249,249,حولا,Houla,قضاءي مرجعيون وحاصبيا,النبطية
250,250,حومال,Houmale,عاليه,جبل لبنان
251,251,حراجل,Hrajel,كسروان,جبل لبنان
252,252,ايلات,Ilate,عكار,عكار
253,253,ايزال,Izal,الضنية,الشمال
254,254,عزه,Izzié,النبطية,النبطية
255,255,جاج,Jage,جبيل,جبل لبنان
256,256,جبيل,Jbail,جبيل,جبل لبنان
257,257,جبلا,Jebla,البترون,الشمال
258,258,جبرايل,Jebrâil,عكار,عكار
259,259,جدايل,Jeddeyel,جبيل,جبل لبنان
260,260,جعيتا,Jeita,كسروان,جبل لبنان
261,261,جنتا,Jennata,قضاءي بعلبك والهرمل,بعلبك والهرمل
262,262,جنسنايا,Jensnaya,جزين,الجنوب
263,263,جرنايا,Jernaya,جزين,الجنوب
264,264,جميجمه,Jmeijmé,بنت جبيل,النبطية
265,265,جبشيت,Jobchite,النبطية,النبطية
266,266,جويا,Jouaya,صور,الجنوب
267,267,جون,Joun,الشوف,جبل لبنان
268,268,جربتا,Jrabta,البترون,الشمال
269,269,جران,Jrane,البترون,الشمال
270,270,قبريخا,Kabrikha,قضاءي مرجعيون وحاصبيا,النبطية
271,271,قشلق,Kachlak,عكار,عكار
272,272,كفتون,Kaftoune,الكورة,الشمال
273,273,كيفون,Kaïfoun,عاليه,جبل لبنان
274,274,قيتولي,Kaïtoulé,جزين,الجنوب
275,275,قلاويه,Kalaouiyé,بنت جبيل,النبطية
276,276,قانا,Kana,صور,الجنوب
277,277,قناريت,Kanarite,قرى صيدا,الجنوب
278,278,كوكبا,Kaoukaba,قضاءي البقاع الغربي وراشيا,البقاع
279,279,كوكبا,Kaoukaba,قضاءي مرجعيون وحاصبيا,النبطية
280,280,قرحا,Karha,قضاءي بعلبك والهرمل,بعلبك والهرمل
281,281,قرحا,Karha,عكار,عكار
282,282,كرخا,Karkha,جزين,الجنوب
283,283,قرصيتا,Karseita,الضنية,الشمال
284,284,قرطاضة,Kartada,بعبدا,جبل لبنان
285,285,كترمايا,Katermaya,الشوف,جبل لبنان
286,286,قبولا,Kboula,عكار,عكار
287,287,كفريا,Kefraya,قضاءي البقاع الغربي وراشيا,البقاع
288,288,كفريا,Kefraya,قرى صيدا,الجنوب
289,289,كفريا,Kefraya,الكورة,الشمال
290,290,كفريا,Kefraya,زغرتا,الشمال
291,291,قهمز,Kehmez,جبيل,جبل لبنان
292,292,قلحات,Kelhate,الكورة,الشمال
293,293,قليا,Kélia,قضاءي البقاع الغربي وراشيا,البقاع
294,294,قرنايل,Kernayel,بعبدا,جبل لبنان
295,295,كفرشيما,Kfarchima,بعبدا,جبل لبنان
296,296,كفردان,Kfardan,قضاءي بعلبك والهرمل,بعلبك والهرمل
297,297,كفردونين,Kfardounine,بنت جبيل,النبطية
298,298,كفرفيلا,Kfarfila,النبطية,النبطية
299,299,كفرفو,Kfarfou,زغرتا,الشمال
300,300,كفرحيم,Kfarhime,الشوف,جبل لبنان
301,301,كفركلا,Kfarkala,قضاءي مرجعيون وحاصبيا,النبطية
302,302,كفرنيس,Kfarnice,الشوف,جبل لبنان
303,303,كفرنون,Kfarnoune,عكار,عكار
304,304,كفرتون,Kfartun,عكار,عكار
305,305,كفيفان,Kfifane,البترون,الشمال
306,306,خرطوم,Khartoum,قرى صيدا,الجنوب
307,307,خزيز,Khazize,قرى صيدا,الجنوب
308,308,قنيور,Knaiouer,بشري,الشمال
309,309,قنات,Knate,بشري,الشمال
310,310,كوبا,Kobbaï,البترون,الشمال
311,311,قرقريا,Korkraya,جبيل,جبل لبنان
312,312,كويخات,Koueikhat,عكار,عكار
313,313,كونين,Kounine,بنت جبيل,النبطية
314,314,كور,Kour,البترون,الشمال
315,315,كوسبا,Kousba,الكورة,الشمال
316,316,قصرنبا,Ksarnaba,قضاءي بعلبك والهرمل,بعلبك والهرمل
317,317,قتاله,Ktalé,بعبدا,جبل لبنان
318,318,لالا,Lala,قضاءي البقاع الغربي وراشيا,البقاع
319,319,لاسا,Lassa,جبيل,جبل لبنان
320,320,لبايا,Lebbaya,قضاءي البقاع الغربي وراشيا,البقاع
321,321,لحفد,Lehfed,جبيل,جبل لبنان
322,322,لوسيا,Loucia,قضاءي البقاع الغربي وراشيا,البقاع
323,323,معاد,Maad,جبيل,جبل لبنان
324,324,معراب,Maarab,كسروان,جبل لبنان
325,325,معربون,Maaraboun,قضاءي بعلبك والهرمل,بعلبك والهرمل
326,326,معصريتي,Maasraïti,عاليه,جبل لبنان
327,327,مشحا,Machha,عكار,عكار
328,328,مشمش,Machmouché,عكار,عكار
329,329,مشمش,Machmouché,جبيل,جبل لبنان
330,330,مغدوشه,Maghdouché,قرى صيدا,الجنوب
331,331,ميدون,Maïdoune,قضاءي البقاع الغربي وراشيا,البقاع
332,332,ميفدون,Maifadoune,النبطية,النبطية
333,333,ميفوق,Maïfouk,جبيل,جبل لبنان
334,334,مجدليون,Majdalioun,قرى صيدا,الجنوب
335,335,مجدلونا,Majdalouna,الشوف,جبل لبنان
336,336,مجدلزون,Majdalzoun,صور,الجنوب
337,337,مجدلون,Majdeloun,قضاءي بعلبك والهرمل,بعلبك والهرمل
338,338,مجدلا,Majdla,عكار,عكار
339,339,مكسه,Maksé,زحلة,البقاع
340,340,مقنه,Maqné,قضاءي بعلبك والهرمل,بعلبك والهرمل
341,341,مرجبا,Marjaba,المتن,جبل لبنان
342,342,مركبا,Markaba,قضاءي مرجعيون وحاصبيا,النبطية
343,343,مركبتا,Markabta,المنية,الشمال
344,344,مروحين,Marouhine,صور,الجنوب
345,345,ماسا,Massa,زحلة,البقاع
346,346,ميروبا,Mayrouba,كسروان,جبل لبنان
347,347,مزبود,Mazboud,الشوف,جبل لبنان
348,348,مشيخا,Mchikha,المتن,جبل لبنان
349,349,مدوخا,Mdoukha,قضاءي البقاع الغربي وراشيا,البقاع
350,350,مشان,Mechane,جبيل,جبل لبنان
351,351,محمرش,Mehemrech,البترون,الشمال
352,352,مجدليا,Mejdlaya,زغرتا,الشمال
353,353,متريت,Metrite,الكورة,الشمال
354,354,محيبيب,Mhaïbib,قضاءي مرجعيون وحاصبيا,النبطية
355,355,مقراق,Mikrak,قضاءي بعلبك والهرمل,بعلبك والهرمل
356,356,ميمس,Mimas,قضاءي مرجعيون وحاصبيا,النبطية
357,357,مزيارة,Miziara,زغرتا,الشمال
358,358,مجادل,Mjadel,صور,الجنوب
359,359,مجيدل,Mjaïdel,جزين,الجنوب
360,360,مليخ,Mlikh,جزين,الجنوب
361,361,منجز,Mounjez,عكار,عكار
362,362,مريجات,Mreijat,زحلة,البقاع
363,363,مرستي,Mristé,الشوف,جبل لبنان
364,364,نابيه,Nabiyeh,المتن,جبل لبنان
365,365,نحلا,Nahla,البترون,الشمال
366,366,نحله,Nahlé,قضاءي بعلبك والهرمل,بعلبك والهرمل
367,367,نيحا,Niha,زحلة,البقاع
368,368,نيحا,Niha,البترون,الشمال
369,369,نيحا,Niha,الشوف,جبل لبنان
370,370,عبيدات,Obeidate,جبيل,جبل لبنان
371,371,قبعيت,Qabbait,عكار,عكار
372,372,رعشين,Raachine,كسروان,جبل لبنان
373,373,راشا,Racha,البترون,الشمال
374,374,رشاف,Rachafe,بنت جبيل,النبطية
375,375,راشانا,Rachana,البترون,الشمال
376,376,رحبه,Rahbé,عكار,عكار
377,377,رعيت,Rait,زحلة,البقاع
378,378,رام,Ram,البترون,الشمال
379,379,راسكيفا,Raskifa,زغرتا,الشمال
380,380,رياق,Rayak,زحلة,البقاع
381,381,ريفون,Rayfoun,كسروان,جبل لبنان
382,382,رشدبين,Rechdebbine,الكورة,الشمال
383,383,رشكنانيه,Recheknaniyeh,صور,الجنوب
384,384,رشميا,Rechmaya,عاليه,جبل لبنان
385,385,رمحالا,Remhala,عاليه,جبل لبنان
386,386,ريحا,Riha,قضاءي بعلبك والهرمل,بعلبك والهرمل
387,387,رماح,Rmah,عكار,عكار
388,388,رميش,Rmeiche,بنت جبيل,النبطية
389,389,روم,Roum,جزين,الجنوب
390,390,روميه,Roumieh,المتن,جبل لبنان
391,391,رومين,Roumine,النبطية,النبطية
392,392,سعدين,Saadine,عكار,عكار
393,393,صباح,Sabbah,جزين,الجنوب
394,394,صديقين,Saddikine,صور,الجنوب
395,395,صغبين,Saghbine,قضاءي البقاع الغربي وراشيا,البقاع
396,396,صيدون,Saïdoune,جزين,الجنوب
397,397,سيسوق,Saïssouk,عكار,عكار
398,398,سلعاتا,Salaata,البترون,الشمال
399,399,صليما,Salima,بعبدا,جبل لبنان
400,400,سرحمول,Sarahmoul,عاليه,جبل لبنان
401,401,صربا,Sarba,النبطية,النبطية
402,402,صربا,Sarba,كسروان,جبل لبنان
403,403,صربين,Sarbine,بنت جبيل,النبطية
404,404,سبلين,Sebline,الشوف,جبل لبنان
405,405,سلفايا,Selfaya,عاليه,جبل لبنان
406,406,سير,Sir,الضنية,الشمال
407,407,سرجبال,Sirjbal,الشوف,جبل لبنان
408,408,سنيه,Sniyé,جزين,الجنوب
409,409,سحمر,Sohmor,قضاءي البقاع الغربي وراشيا,البقاع
410,410,صوانه,Souané,قضاءي مرجعيون وحاصبيا,النبطية
411,411,سجد,Soujoud,جزين,الجنوب
412,412,سرار,Srar,عكار,عكار
413,413,صريفا,Srifa,صور,الجنوب
414,414,طبرجا,Tabarja,كسروان,جبل لبنان
415,415,طليا,Talia,قضاءي بعلبك والهرمل,بعلبك والهرمل
416,416,طنبوريت,Tanbourite,قرى صيدا,الجنوب
417,417,البترون,,البترون,الشمال
418,418,الفتاحات وحربونا,,البترون,الشمال
419,419,آسيا,,البترون,الشمال
420,420,بشتودار,,البترون,الشمال
421,421,بيت شلالا,,البترون,الشمال
422,422,تنورين التحتا,Tannourine el Tahta,البترون,الشمال
423,423,تنورين الفوقا,,البترون,الشمال
424,424,دير بلا,,البترون,الشمال
425,425,راشكده,,البترون,الشمال
426,426,راشكيده,,البترون,الشمال
427,427,صغار,,البترون,الشمال
428,428,صورات,,البترون,الشمال
429,429,ضهر ابو ياغي,,البترون,الشمال
430,430,الباروك,El-Barouk,الشوف,جبل لبنان
431,431,عرتز,,البترون,الشمال
432,432,عورا,,البترون,الشمال
433,433,غوما,,البترون,الشمال
434,434,قندولا,,البترون,الشمال
435,435,كفر حتنا,,البترون,الشمال
436,436,البداوي,Al-Beddaoui,مدينة طرابلس,الشمال
437,437,كفر حلده,,البترون,الشمال
438,438,كفرحي,,البترون,الشمال
439,439,مراح الحاج,Mrah el Hage,البترون,الشمال
440,440,مراح الزيات,Mrah-El-Ziet,البترون,الشمال
441,441,البرج,El-Borge,عكار,عكار
442,442,البرجين,El-Berjaine,الشوف,جبل لبنان
443,443,مراح شديد ودير شواح,,البترون,الشمال
444,444,مسرح والبقيعة,,البترون,الشمال
445,445,وجه الحجر,Wejh-el-Hajar,البترون,الشمال
446,446,البطال,,الشوف,جبل لبنان
447,447,الجاهلية,,الشوف,جبل لبنان
448,448,الجميليه,,الشوف,جبل لبنان
449,449,الجيه,El Jiyeh,الشوف,جبل لبنان
450,450,الدامور,,الشوف,جبل لبنان
451,451,الدبية,,الشوف,جبل لبنان
452,452,الرميله,,الشوف,جبل لبنان
453,453,الزعرورية,,الشوف,جبل لبنان
454,454,البنيه,El-Bennayé,عاليه,جبل لبنان
455,455,البوار,El-Bouar,كسروان,جبل لبنان
456,456,السمقانية,,الشوف,جبل لبنان
457,457,الفواره,,الشوف,جبل لبنان
458,458,الكحلونية,,الشوف,جبل لبنان
459,459,الكنيسة,,الشوف,جبل لبنان
460,460,البياض,El-Biyad,صور,الجنوب
461,461,البيره,El-Biré,قضاءي البقاع الغربي وراشيا,البقاع
462,462,البيره,El-Biré,عكار,عكار
463,463,البيره,El-Biré,الشوف,جبل لبنان
464,464,المحتقره دير المخلص,,الشوف,جبل لبنان
465,465,المطله,,الشوف,جبل لبنان
466,466,المغيريه,,الشوف,جبل لبنان
467,467,التل,El-Tellé,مدينة طرابلس,الشمال
468,468,التليل,El-Tleil,عكار,عكار
469,469,الناعمه,,الشوف,جبل لبنان
470,470,الوردانية,El-Wardaniyeh,الشوف,جبل لبنان
471,471,الورهانية,,الشوف,جبل لبنان
472,472,بريح,,الشوف,جبل لبنان
473,473,بعذران,,الشوف,جبل لبنان
474,474,بعقلين التحتا,,الشوف,جبل لبنان
475,475,بعقلين الفوقا,,الشوف,جبل لبنان
476,476,بقعاتا,,الشوف,جبل لبنان
477,477,الجديده,Al-Jdeidé,قضاءي بعلبك والهرمل,بعلبك والهرمل
478,478,الجديده,Al-Jdeidé,عكار,عكار
479,479,الجرمق,El-Jarmak,جزين,الجنوب
480,480,جباع,,الشوف,جبل لبنان
481,481,الجليليه,El-Jleiliyeh,الشوف,جبل لبنان
482,482,جدرا - وادي الزينة,,الشوف,جبل لبنان
483,483,الجوار,El-Jouar,المتن,جبل لبنان
484,484,جديدة الشوف,,الشوف,جبل لبنان
485,485,حارة الناعمه,,الشوف,جبل لبنان
486,486,حارة بعاصير,,الشوف,جبل لبنان
487,487,دير دوريت,,الشوف,جبل لبنان
488,488,الحازميه,El-Hazmieh,بعبدا,جبل لبنان
489,489,شحيم حي البدوي,,الشوف,جبل لبنان
490,490,شحيم حي البيادر,,الشوف,جبل لبنان
491,491,شحيم حي الجامع,,الشوف,جبل لبنان
492,492,شحيم حي السهله,,الشوف,جبل لبنان
493,493,شحيم حي الشريفة,,الشوف,جبل لبنان
494,494,شحيم حي الوسطاني,,الشوف,جبل لبنان
495,495,شحيم حي شحرور,,الشوف,جبل لبنان
496,496,الحرف,El-Harf,جزين,الجنوب
497,497,عين الاسد والشميس,,الشوف,جبل لبنان
498,498,عين الحور,,الشوف,جبل لبنان
499,499,الحصون,El-Hsoune,جبيل,جبل لبنان
500,500,الحصين,El-Hossein,كسروان,جبل لبنان
501,501,عين وزين,,الشوف,جبل لبنان
502,502,كفر قطره,,الشوف,جبل لبنان
503,503,كفرحي,,الشوف,جبل لبنان
504,504,كفرنبرخ,,الشوف,جبل لبنان
505,505,كليليه,,الشوف,جبل لبنان
506,506,مجدل المعوش,,الشوف,جبل لبنان
